Rank,Name,Franchise,basename,Genre,Platform,Publisher,Developer,Year,Random_Values,Estimated_Sales
66,Pokemon FireRed / LeafGreen Version,Pokemon,pokmon-firered,Role-Playing,GBA,Nintendo,Game Freak,2004.0,0.9064756722938437,12.0
67,Gran Turismo 5,Gran Turismo,gran-turismo-5,Racing,PS3,Sony Computer Entertainment,Polyphony Digital,2010.0,0.20596241320155984,11.95
68,Super Mario 64,Mario,super-mario-64,Platform,N64,Nintendo,Nintendo EAD,1996.0,0.5730126601778889,11.91
69,FIFA 18,FIFA,fifa-18,Sports,PS4,EA Sports,EA Vancouver,2017.0,0.21510767111319806,11.8
70,Gran Turismo 4,Gran Turismo,gran-turismo-4,Racing,PS2,Sony Computer Entertainment,Polyphony Digital,2005.0,0.267764382498192,11.76
71,Animal Crossing: Wild World,Animal Crossing,animal-crossing-wild-world,Simulation,DS,Nintendo,Nintendo EAD,2005.0,0.011159902437586355,11.75
72,The Legend of Zelda: Breath of the Wild,The Legend of Zelda,the-legend-of-zelda-breath-of-the-wild,Action-Adventure,NS,Nintendo,Nintendo EPD,2017.0,0.4047450639745772,11.68
73,Super Mario Land 2: 6 Golden Coins,Mario,super-mario-land-2-6-golden-coins,Platform,GB,Nintendo,Nintendo R&D1,1992.0,0.42339861585504746,11.18
74,Grand Theft Auto IV,Grand Theft Auto,grand-theft-auto-iv,Action,X360,Rockstar Games,Rockstar North,2008.0,0.8692173262525542,11.09
75,Super Mario 64 DS,Mario,super-mario-64-ds,Platform,DS,Nintendo,Nintendo EAD,2004.0,0.03870898601456774,11.06
76,Terraria,Undefined Franchise,terraria,Platform,PC,505 Games,Re-Logic,2011.0,0.5637473658244359,11.0
77,FIFA 17,FIFA,fifa-17,Sports,PS4,Electronic Arts,EA Canada,2016.0,0.2207351881534082,10.94
78,Gran Turismo,Gran Turismo,gran-turismo,Racing,PS,Sony Computer Entertainment,Polyphony Digital,1998.0,0.6961527612590098,10.85
79,Call of Duty: Modern Warfare 2,Call of Duty,call-of-duty-modern-warfare-2,Shooter,PS3,Activision,Infinity Ward,2009.0,0.36545263303465714,10.61
80,Grand Theft Auto IV,Grand Theft Auto,grand-theft-auto-iv,Action,PS3,Rockstar Games,Rockstar North,2008.0,0.8029249297246959,10.57
81,Super Mario All-Stars,Mario,super-mario-all-stars,Platform,SNES,Nintendo,Nintendo EAD,1993.0,0.6794939300733998,10.55
82,Call of Duty: Ghosts,Call of Duty,call-of-duty-ghosts,Shooter,X360,Activision,Infinity Ward,2013.0,0.774338480548243,10.41
83,Just Dance 3,Just Dance,just-dance-3,Misc,Wii,Ubisoft,Ubisoft Paris,2011.0,0.2973285860537962,10.14
84,Call of Duty: Ghosts,Call of Duty,call-of-duty-ghosts,Shooter,PS3,Activision,Infinity Ward,2013.0,0.6038954775358516,10.13
85,Horizon: Zero Dawn,Horizon,horizon-zero-dawn,Action,PS4,Sony Interactive Entertainment,Guerrilla Games,2017.0,0.2580965735679025,10.0
86,"Pokemon: Let's Go, Pikachu/Eevee",Pokemon," pikachueevee""",Role-Playing,NS,Nintendo,Game Freak,2018.0,0.6844179881095761,10.0
87,RollerCoaster Tycoon 3,Undefined Franchise,rollercoaster-tycoon-3,Strategy,PC,Atari,Frontier Developments,2004.0,0.4299545745377782,10.0
88,Halo: Reach,Halo,halo-reach,Shooter,X360,Microsoft Game Studios,Bungie,2010.0,0.8651707799397538,9.97
89,Portal,Undefined Franchise,portal,Shooter,PC,Valve Corporation,Valve Software,2008.0,0.23838125570661395,9.97
90,Halo 4,Halo,halo-4,Shooter,X360,Microsoft Studios,343 Industries,2012.0,0.9142488258595712,9.96
91,Final Fantasy VII,Final Fantasy,final-fantasy-vii,Role-Playing,PS,Sony Computer Entertainment,SquareSoft,1997.0,0.20529880575279436,9.9
92,Mario Kart 64,Mario,mario-kart-64,Racing,N64,Nintendo,Nintendo EAD,1997.0,0.5456948813745575,9.87
93,StarCraft,Undefined Franchise,starcraft,Strategy,PC,Blizzard Entertainment,Blizzard Entertainment,1998.0,0.6053167926104015,9.5
94,Super Smash Bros. for 3DS,Super Smash Bros.,super-smash-bros-for-3ds,Fighting,3DS,Nintendo,Bandai Namco Games,2014.0,0.8504421522780714,9.45
95,Call of Duty 4: Modern Warfare,Call of Duty,call-of-duty-4-modern-warfare,Shooter,X360,Activision,Infinity Ward,2007.0,0.5819512370922306,9.41
96,Gran Turismo 2,Gran Turismo,gran-turismo-2,Racing,PS,Sony Computer Entertainment,Polyphony Digital,1999.0,0.3611938714280828,9.37
97,Wii Party,Undefined Franchise,wii-party,Misc,Wii,Nintendo,"Nd Cube Co., Ltd.",2010.0,0.12275005159509,9.32
98,Call of Duty: Black Ops IIII,Call of Duty,call-of-duty-black-ops-iiii,Shooter,PS4,Activision,Treyarch,2018.0,0.42240341420518646,9.32
99,Mario Party DS,Mario,mario-party-ds,Misc,DS,Nintendo,Hudson Soft,2007.0,0.5954821334539483,9.31
100,Donkey Kong Country,Undefined Franchise,donkey-kong-country,Platform,SNES,Nintendo,Rare Ltd.,1994.0,0.27029248188828625,9.3
101,FIFA 19,FIFA,fifa-19,Sports,PS4,Electronic Arts,EA Sports,2018.0,0.685907219015523,9.15
102,Rust,Undefined Franchise,rust,Action-Adventure,PC,Facepunch Studios,Facepunch Studios,2018.0,0.47435405657214336,9.15
103,Marvel's Spider-Man,Spider-Man,marvels-spider-man,Action-Adventure,PS4,Sony Interactive Entertainment,Insomniac Games,2018.0,0.08257784094025156,9.0
104,Half-Life 2,Half-Life,half-life-2,Shooter,PC,VU Games,Valve Software,2004.0,0.005704245631821592,8.88
105,The Elder Scrolls V: Skyrim,The Elder Scrolls,the-elder-scrolls-v-skyrim,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,2011.0,0.6593235124372303,8.88
106,Mario Party 8,Mario,mario-party-8,Misc,Wii,Nintendo,Hudson Soft,2007.0,0.8912491447818833,8.85
107,Super Mario Kart,Mario,super-mario-kart,Racing,SNES,Nintendo,Nintendo EAD,1992.0,0.702835872715712,8.76
108,Grand Theft Auto V,Grand Theft Auto,grand-theft-auto-v,Action,XOne,Rockstar Games,Rockstar North,2014.0,0.7992202833308987,8.72
109,Uncharted 4: A Thief's End,Uncharted,uncharted-4-a-thiefs-end,Action,PS4,Sony Interactive Entertainment,Naughty Dog,2016.0,0.4333829372194744,8.7
110,Final Fantasy VIII,Final Fantasy,final-fantasy-viii,Role-Playing,PS,Square EA,SquareSoft,1999.0,0.28236026237236,8.6
111,Final Fantasy X,Final Fantasy,final-fantasy-x,Role-Playing,PS2,Square,SquareSoft,2001.0,0.4326397360976323,8.6
112,Pokemon Black 2 and White 2,Pokemon,pokemon-black-2-and-white-2,Role-Playing,DS,Nintendo,Game Freak,2012.0,0.02182378870450985,8.52
113,Call of Duty: Infinite Warfare,Call of Duty,call-of-duty-infinite-warfare,Shooter,PS4,Activision,Infinity Ward,2016.0,0.10940971375095743,8.48
114,Fallout 4,Fallout,fallout-4,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,2015.0,0.3739559960431682,8.48
115,Mario Kart 8,Mario,mario-kart-8,Racing,WiiU,Nintendo,Nintendo,2014.0,0.13642415349451886,8.42
116,Tekken 3,Tekken,tekken-3,Fighting,PS,Namco,Namco,1998.0,0.2492248950108833,8.3
117,Pokemon: Ultra Sun and Ultra Moon,Pokemon,pokemon-ultra-sun-and-ultra-moon,Role-Playing,3DS,Nintendo,Game Freak,2017.0,0.49192387366571366,8.28
118,Splatoon 2,Splatoon,splatoon-2,Shooter,NS,Nintendo,Nintendo EPD,2017.0,0.48755308105127315,8.27
119,FIFA 16,FIFA,fifa-16,Sports,PS4,EA Sports,EA Canada,2015.0,0.6809892406887519,8.22
120,GoldenEye 007,Undefined Franchise,goldeneye-007,Shooter,N64,Nintendo,Rare Ltd.,1997.0,0.660785112596974,8.09
121,Star Wars Battlefront (2015),Star Wars,star-wars-battlefront-2015,Shooter,PS4,Electronic Arts,EA DICE,2015.0,0.7887249946806013,8.03
122,FIFA 13,FIFA,fifa-13,Sports,PS3,EA Sports,EA Canada,2012.0,0.5996497471570628,8.01
123,Halo 2,Halo,halo-2,Shooter,XB,Microsoft Game Studios,Bungie Studios,2004.0,0.9538441170578135,8.0
124,The Sims 3,The Sims,the-sims-3,Simulation,PC,Electronic Arts,EA Redwood Shores,2009.0,0.05901492104273354,7.96
125,Grand Theft Auto: Liberty City Stories,Grand Theft Auto,grand-theft-auto-liberty-city-stories,Action,PSP,Rockstar Games,Rockstar Leeds,2005.0,0.66110763564422,7.72
126,Pac-Man,Pac-Man,pac-man,Puzzle,2600,Atari,Atari,1982.0,0.531476496314895,7.7
127,Pokemon Platinum Version,Pokemon,pokemon-platinum-version,Role-Playing,DS,Nintendo,Game Freak,2009.0,0.7352872322697688,7.6
128,The Legend of Zelda: Ocarina of Time,The Legend of Zelda,the-legend-of-zelda-ocarina-of-time,Adventure,N64,Nintendo,Nintendo EAD,1998.0,0.14183153065670928,7.6
129,Crash Bandicoot 2: Cortex Strikes Back,Crash Bandicoot,crash-bandicoot-2-cortex-strikes-back,Platform,PS,Sony Computer Entertainment,Naughty Dog,1997.0,0.33614931734919573,7.58
130,Call of Duty: Advanced Warfare,Call of Duty,call-of-duty-advanced-warfare,Shooter,PS4,Activision,Sledgehammer Games,2014.0,0.22665348608697033,7.53
131,Call of Duty: World at War,Call of Duty,call-of-duty-world-at-war,Shooter,X360,Activision,Treyarch,2008.0,0.5695953394345903,7.5
132,Super Mario Bros. 2,Mario,super-mario-bros-2,Platform,NES,Nintendo,Nintendo EAD,1988.0,0.3680548386039104,7.46
133,Super Mario Galaxy 2,Mario,super-mario-galaxy-2,Platform,Wii,Nintendo,Nintendo EAD Tokyo,2010.0,0.7463055243147427,7.41
134,Super Smash Bros. Melee,Super Smash Bros.,super-smash-bros-melee,Fighting,GC,Nintendo,HAL Laboratory,2001.0,0.26584238751763534,7.41
135,Call of Duty: Black Ops 3,Call of Duty,call-of-duty-black-ops-3,Shooter,XOne,Activision,Treyarch,2015.0,0.23258671614369164,7.37
136,Battlefield 3,Battlefield,battlefield-3,Shooter,X360,Electronic Arts,Dice,2011.0,0.8466522557772489,7.35
137,The Legend of Zelda: Twilight Princess,The Legend of Zelda,the-legend-of-zelda-twilight-princess,Adventure,Wii,Nintendo,Nintendo EAD,2006.0,0.7864063119882995,7.26
138,Battlefield 1,Battlefield,battlefield-1,Shooter,PS4,Electronic Arts,EA DICE,2016.0,0.3269475642997819,7.26
139,Battlefield 3,Battlefield,battlefield-3,Shooter,PS3,Electronic Arts,Dice,2011.0,0.9826994168423162,7.21
140,Need for Speed Underground,Need for Speed,need-for-speed-underground,Racing,PS2,Electronic Arts,EA Black Box,2003.0,0.9063295086260402,7.2
141,The Binding of Isaac,Undefined Franchise,the-binding-of-isaac,Action,PC,Edmund McMillen,Edmund McMillen,2011.0,0.8492567464288895,7.17
142,Crash Bandicoot 3: Warped,Crash Bandicoot,crash-bandicoot-3-warped,Platform,PS,Sony Computer Entertainment,Naughty Dog,1998.0,0.530524453541931,7.13
143,Pokemon Emerald Version,Pokemon,pokemon-emerald-version,Role-Playing,GBA,Nintendo,Game Freak,2005.0,0.22563731891851313,7.06
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Undefined Franchise,yokai-watch-2-bony-spirits,Role-Playing,3DS,Nintendo,Level 5,2016.0,0.6600086108642061,7.03
145,Need for Speed Underground 2,Need for Speed,need-for-speed-underground-2,Racing,PS2,Electronic Arts,EA Black Box,2004.0,0.25605618560819055,6.9
146,Just Dance 4,Just Dance,just-dance-4,Music,Wii,Ubisoft,Ubisoft,2012.0,0.9343564999461947,6.89
147,Mario Kart: Double Dash!!,Mario,mario-kart-double-dash,Racing,GC,Nintendo,Nintendo EAD,2003.0,0.8159820215345767,6.88
