Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Estimated_Sales
1,Wii Sports,wii-sports,Sports,Wii,Nintendo,Nintendo EAD,2006.0,82.86
2,Super Mario Bros.,super-mario-bros,Platform,NES,Nintendo,Nintendo EAD,1985.0,40.24
3,Mario Kart Wii,mario-kart-wii,Racing,Wii,Nintendo,Nintendo EAD,2008.0,37.14
4,PlayerUnknown's Battlegrounds,playerunknowns-battlegrounds,Shooter,PC,PUBG Corporation,PUBG Corporation,2017.0,36.6
5,Wii Sports Resort,wii-sports-resort,Sports,Wii,Nintendo,Nintendo EAD,2009.0,33.09
6,Pokemon Red / Green / Blue Version,pokmon-red,Role-Playing,GB,Nintendo,Game Freak,1998.0,31.38
7,New Super Mario Bros.,new-super-mario-bros,Platform,DS,Nintendo,Nintendo EAD,2006.0,30.8
8,Tetris,tetris,Puzzle,GB,Nintendo,Bullet Proof Software,1989.0,30.26
9,New Super Mario Bros. Wii,new-super-mario-bros-wii,Platform,Wii,Nintendo,Nintendo EAD,2009.0,30.22
10,Minecraft,minecraft,Misc,PC,Mojang,Mojang AB,2010.0,30.01
11,Duck Hunt,duck-hunt,Shooter,NES,Nintendo,Nintendo R&D1,1985.0,28.31
12,Wii Play,wii-play,Misc,Wii,Nintendo,Nintendo EAD,2007.0,28.02
13,Kinect Adventures!,kinect-adventures,Party,X360,Microsoft Game Studios,Good Science Studio,2010.0,24.0
14,Nintendogs,nintendogs,Simulation,DS,Nintendo,Nintendo EAD,2005.0,23.96
15,Mario Kart DS,mario-kart-ds,Racing,DS,Nintendo,Nintendo EAD,2005.0,23.6
16,Pokemon Gold / Silver Version,pokmon-gold,Role-Playing,GB,Nintendo,Game Freak,2000.0,23.1
17,Wii Fit,wii-fit,Sports,Wii,Nintendo,Nintendo EAD,2008.0,22.67
18,Wii Fit Plus,wii-fit-plus,Sports,Wii,Nintendo,Nintendo EAD,2009.0,21.13
19,Super Mario World,super-mario-world,Platform,SNES,Nintendo,Nintendo EAD,1991.0,20.61
20,Grand Theft Auto V,grand-theft-auto-v,Action,PS3,Rockstar Games,Rockstar North,2013.0,20.32
21,Grand Theft Auto V,grand-theft-auto-v,Action,PS4,Rockstar Games,Rockstar North,2014.0,19.39
22,Brain Age: Train Your Brain in Minutes a Day,brain-age-train-your-brain-in-minutes-a-day,Misc,DS,Nintendo,Nintendo SDD,2006.0,19.01
23,Garry's Mod,garrys-mod,Misc,PC,,Team Garry,2004.0,18.58
24,Super Mario Land,super-mario-land,Platform,GB,Nintendo,Nintendo R&D1,1989.0,18.14
25,Mario Kart 7,mario-kart-7,Racing,3DS,Nintendo,Nintendo EAD / Retro Studios,2011.0,18.11
26,Pokemon Diamond / Pearl Version,pokmon-diamond,Role-Playing,DS,Nintendo,Game Freak,2007.0,17.67
27,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,Action,PS2,Rockstar Games,Rockstar North,2004.0,17.3
28,Super Mario Bros. 3,super-mario-bros-3,Platform,NES,Nintendo,Nintendo R&D2,1990.0,17.28
29,Pokemon X/Y,pokmon-x,Role-Playing,3DS,Nintendo,Game Freak,2013.0,16.37
30,Pokemon Ruby / Sapphire Version,pokmon-ruby,Role-Playing,GBA,Nintendo,Game Freak,2003.0,16.22
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,PS2,Rockstar Games,Rockstar North,2002.0,16.15
32,Pokemon Sun/Moon,pokmon-sun,Role-Playing,3DS,Nintendo,Game Freak,2016.0,16.14
33,Grand Theft Auto V,grand-theft-auto-v,Action,X360,Rockstar Games,Rockstar North,2013.0,15.86
34,Pokemon Black / White Version,pokmon-black,Role-Playing,DS,Nintendo,Game Freak,2011.0,15.64
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,PS4,Activision,Treyarch,2015.0,15.09
36,Mario Kart 8 Deluxe,mario-kart-8-deluxe,Racing,NS,Nintendo,Nintendo EPD,2017.0,15.02
37,Counter-Strike: Source,counter-strike-source,Shooter,PC,VU Games,Valve Software,2004.0,15.0
38,Sonic the Hedgehog,sonic-the-hedgehog,Platform,GEN,Sega,Sonic Team,1991.0,15.0
39,Gran Turismo 3: A-Spec,gran-turismo-3-a-spec,Racing,PS2,Sony Computer Entertainment,Polyphony Digital,2001.0,14.89
40,Brain Age 2: More Training in Minutes a Day,brain-age-2-more-training-in-minutes-a-day,Misc,DS,Nintendo,Nintendo SDD,2007.0,14.88
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,X360,Activision,Infinity Ward,2011.0,14.82
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,X360,Activision,Treyarch,2010.0,14.74
43,Pokemon Yellow: Special Pikachu Edition,pokemon-yellow-special-pikachu-edition,Role-Playing,GB,Nintendo,Game Freak,1999.0,14.64
44,Halo 3,halo-3,Shooter,X360,Microsoft Game Studios,Bungie Studios,2007.0,14.5
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,pokmon-omega-ruby,Role-Playing,3DS,Nintendo,Game Freak,2014.0,14.17
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,PS4,Rockstar Games,Rockstar Games,2018.0,13.94
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,X360,Activision,Treyarch,2012.0,13.86
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,PS3,Activision,Treyarch,2012.0,13.8
49,Super Mario Odyssey,super-mario-odyssey,Platform,NS,Nintendo,Nintendo EPD,2017.0,13.76
