Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Estimated_Sales
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,X360,Activision,Infinity Ward,2009.0,13.53
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,PS4,Activision,Sledgehammer Games,2017.0,13.4
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,PS3,Activision,Infinity Ward,2011.0,13.35
53,Super Smash Bros. Brawl,super-smash-bros-brawl,Fighting,Wii,Nintendo,Project Sora,2008.0,13.29
54,Grand Theft Auto III,grand-theft-auto-iii,Action,PS2,Rockstar Games,DMA Design,2001.0,13.1
55,New Super Mario Bros. 2,new-super-mario-bros-2,Platform,3DS,Nintendo,Nintendo,2012.0,13.08
56,Portal 2,portal-2,Shooter,PC,Valve,Valve Software,2011.0,13.06
57,Minecraft,minecraft,Misc,X360,Microsoft Studios,Mojang,2013.0,13.0
58,Super Mario Galaxy,super-mario-galaxy,Platform,Wii,Nintendo,Nintendo EAD Tokyo,2007.0,12.78
59,Pokemon Heart Gold / Soul Silver Version,pokmon-heart-gold,Role-Playing,DS,Nintendo,Game Freak,2010.0,12.72
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,PS3,Activision,Treyarch,2010.0,12.67
61,Grand Theft Auto V,grand-theft-auto-v,Action,PC,Rockstar Games,Rockstar North,2015.0,12.6
62,Super Mario 3D Land,super-mario-3d-land,Platform,3DS,Nintendo,Nintendo EAD Tokyo,2011.0,12.41
63,Animal Crossing: New Leaf,animal-crossing-new-leaf,Simulation,3DS,Nintendo,Nintendo EAD,2013.0,12.1
64,Super Smash Bros. Ultimate,super-smash-bros-ultimate,Fighting,NS,Nintendo,Bandai Namco Games,2018.0,12.08
65,Diablo III,diablo-iii,Role-Playing,PC,Blizzard Entertainment,Blizzard Entertainment,2012.0,12.0
66,Pokemon FireRed / LeafGreen Version,pokmon-firered,Role-Playing,GBA,Nintendo,Game Freak,2004.0,12.0
67,Gran Turismo 5,gran-turismo-5,Racing,PS3,Sony Computer Entertainment,Polyphony Digital,2010.0,11.95
68,Super Mario 64,super-mario-64,Platform,N64,Nintendo,Nintendo EAD,1996.0,11.91
69,FIFA 18,fifa-18,Sports,PS4,EA Sports,EA Vancouver,2017.0,11.8
70,Gran Turismo 4,gran-turismo-4,Racing,PS2,Sony Computer Entertainment,Polyphony Digital,2005.0,11.76
71,Animal Crossing: Wild World,animal-crossing-wild-world,Simulation,DS,Nintendo,Nintendo EAD,2005.0,11.75
72,The Legend of Zelda: Breath of the Wild,the-legend-of-zelda-breath-of-the-wild,Action-Adventure,NS,Nintendo,Nintendo EPD,2017.0,11.68
73,Super Mario Land 2: 6 Golden Coins,super-mario-land-2-6-golden-coins,Platform,GB,Nintendo,Nintendo R&D1,1992.0,11.18
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,X360,Rockstar Games,Rockstar North,2008.0,11.09
75,Super Mario 64 DS,super-mario-64-ds,Platform,DS,Nintendo,Nintendo EAD,2004.0,11.06
76,Terraria,terraria,Platform,PC,505 Games,Re-Logic,2011.0,11.0
77,FIFA 17,fifa-17,Sports,PS4,Electronic Arts,EA Canada,2016.0,10.94
78,Gran Turismo,gran-turismo,Racing,PS,Sony Computer Entertainment,Polyphony Digital,1998.0,10.85
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,PS3,Activision,Infinity Ward,2009.0,10.61
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,PS3,Rockstar Games,Rockstar North,2008.0,10.57
81,Super Mario All-Stars,super-mario-all-stars,Platform,SNES,Nintendo,Nintendo EAD,1993.0,10.55
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,X360,Activision,Infinity Ward,2013.0,10.41
83,Just Dance 3,just-dance-3,Misc,Wii,Ubisoft,Ubisoft Paris,2011.0,10.14
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,PS3,Activision,Infinity Ward,2013.0,10.13
85,Horizon: Zero Dawn,horizon-zero-dawn,Action,PS4,Sony Interactive Entertainment,Guerrilla Games,2017.0,10.0
86,"Pokemon: Let's Go, Pikachu/Eevee"," pikachueevee""",Role-Playing,NS,Nintendo,Game Freak,2018.0,10.0
87,RollerCoaster Tycoon 3,rollercoaster-tycoon-3,Strategy,PC,Atari,Frontier Developments,2004.0,10.0
88,Halo: Reach,halo-reach,Shooter,X360,Microsoft Game Studios,Bungie,2010.0,9.97
89,Portal,portal,Shooter,PC,Valve Corporation,Valve Software,2008.0,9.97
90,Halo 4,halo-4,Shooter,X360,Microsoft Studios,343 Industries,2012.0,9.96
91,Final Fantasy VII,final-fantasy-vii,Role-Playing,PS,Sony Computer Entertainment,SquareSoft,1997.0,9.9
92,Mario Kart 64,mario-kart-64,Racing,N64,Nintendo,Nintendo EAD,1997.0,9.87
93,StarCraft,starcraft,Strategy,PC,Blizzard Entertainment,Blizzard Entertainment,1998.0,9.5
94,Super Smash Bros. for 3DS,super-smash-bros-for-3ds,Fighting,3DS,Nintendo,Bandai Namco Games,2014.0,9.45
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,X360,Activision,Infinity Ward,2007.0,9.41
96,Gran Turismo 2,gran-turismo-2,Racing,PS,Sony Computer Entertainment,Polyphony Digital,1999.0,9.37
97,Wii Party,wii-party,Misc,Wii,Nintendo,"Nd Cube Co., Ltd.",2010.0,9.32
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,PS4,Activision,Treyarch,2018.0,9.32
99,Mario Party DS,mario-party-ds,Misc,DS,Nintendo,Hudson Soft,2007.0,9.31
100,Donkey Kong Country,donkey-kong-country,Platform,SNES,Nintendo,Rare Ltd.,1994.0,9.3
101,FIFA 19,fifa-19,Sports,PS4,Electronic Arts,EA Sports,2018.0,9.15
102,Rust,rust,Action-Adventure,PC,Facepunch Studios,Facepunch Studios,2018.0,9.15
103,Marvel's Spider-Man,marvels-spider-man,Action-Adventure,PS4,Sony Interactive Entertainment,Insomniac Games,2018.0,9.0
104,Half-Life 2,half-life-2,Shooter,PC,VU Games,Valve Software,2004.0,8.88
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,2011.0,8.88
106,Mario Party 8,mario-party-8,Misc,Wii,Nintendo,Hudson Soft,2007.0,8.85
107,Super Mario Kart,super-mario-kart,Racing,SNES,Nintendo,Nintendo EAD,1992.0,8.76
108,Grand Theft Auto V,grand-theft-auto-v,Action,XOne,Rockstar Games,Rockstar North,2014.0,8.72
109,Uncharted 4: A Thief's End,uncharted-4-a-thiefs-end,Action,PS4,Sony Interactive Entertainment,Naughty Dog,2016.0,8.7
110,Final Fantasy VIII,final-fantasy-viii,Role-Playing,PS,Square EA,SquareSoft,1999.0,8.6
111,Final Fantasy X,final-fantasy-x,Role-Playing,PS2,Square,SquareSoft,2001.0,8.6
112,Pokemon Black 2 and White 2,pokemon-black-2-and-white-2,Role-Playing,DS,Nintendo,Game Freak,2012.0,8.52
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,PS4,Activision,Infinity Ward,2016.0,8.48
114,Fallout 4,fallout-4,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,2015.0,8.48
115,Mario Kart 8,mario-kart-8,Racing,WiiU,Nintendo,Nintendo,2014.0,8.42
116,Tekken 3,tekken-3,Fighting,PS,Namco,Namco,1998.0,8.3
117,Pokemon: Ultra Sun and Ultra Moon,pokemon-ultra-sun-and-ultra-moon,Role-Playing,3DS,Nintendo,Game Freak,2017.0,8.28
118,Splatoon 2,splatoon-2,Shooter,NS,Nintendo,Nintendo EPD,2017.0,8.27
119,FIFA 16,fifa-16,Sports,PS4,EA Sports,EA Canada,2015.0,8.22
120,GoldenEye 007,goldeneye-007,Shooter,N64,Nintendo,Rare Ltd.,1997.0,8.09
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,PS4,Electronic Arts,EA DICE,2015.0,8.03
122,FIFA 13,fifa-13,Sports,PS3,EA Sports,EA Canada,2012.0,8.01
123,Halo 2,halo-2,Shooter,XB,Microsoft Game Studios,Bungie Studios,2004.0,8.0
124,The Sims 3,the-sims-3,Simulation,PC,Electronic Arts,EA Redwood Shores,2009.0,7.96
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,PSP,Rockstar Games,Rockstar Leeds,2005.0,7.72
126,Pac-Man,pac-man,Puzzle,2600,Atari,Atari,1982.0,7.7
127,Pokemon Platinum Version,pokemon-platinum-version,Role-Playing,DS,Nintendo,Game Freak,2009.0,7.6
128,The Legend of Zelda: Ocarina of Time,the-legend-of-zelda-ocarina-of-time,Adventure,N64,Nintendo,Nintendo EAD,1998.0,7.6
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,PS,Sony Computer Entertainment,Naughty Dog,1997.0,7.58
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,PS4,Activision,Sledgehammer Games,2014.0,7.53
131,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,X360,Activision,Treyarch,2008.0,7.5
132,Super Mario Bros. 2,super-mario-bros-2,Platform,NES,Nintendo,Nintendo EAD,1988.0,7.46
133,Super Mario Galaxy 2,super-mario-galaxy-2,Platform,Wii,Nintendo,Nintendo EAD Tokyo,2010.0,7.41
134,Super Smash Bros. Melee,super-smash-bros-melee,Fighting,GC,Nintendo,HAL Laboratory,2001.0,7.41
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,XOne,Activision,Treyarch,2015.0,7.37
136,Battlefield 3,battlefield-3,Shooter,X360,Electronic Arts,Dice,2011.0,7.35
137,The Legend of Zelda: Twilight Princess,the-legend-of-zelda-twilight-princess,Adventure,Wii,Nintendo,Nintendo EAD,2006.0,7.26
138,Battlefield 1,battlefield-1,Shooter,PS4,Electronic Arts,EA DICE,2016.0,7.26
139,Battlefield 3,battlefield-3,Shooter,PS3,Electronic Arts,Dice,2011.0,7.21
140,Need for Speed Underground,need-for-speed-underground,Racing,PS2,Electronic Arts,EA Black Box,2003.0,7.2
141,The Binding of Isaac,the-binding-of-isaac,Action,PC,Edmund McMillen,Edmund McMillen,2011.0,7.17
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,PS,Sony Computer Entertainment,Naughty Dog,1998.0,7.13
143,Pokemon Emerald Version,pokemon-emerald-version,Role-Playing,GBA,Nintendo,Game Freak,2005.0,7.06
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,yokai-watch-2-bony-spirits,Role-Playing,3DS,Nintendo,Level 5,2016.0,7.03
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,PS2,Electronic Arts,EA Black Box,2004.0,6.9
146,Just Dance 4,just-dance-4,Music,Wii,Ubisoft,Ubisoft,2012.0,6.89
147,Mario Kart: Double Dash!!,mario-kart-double-dash,Racing,GC,Nintendo,Nintendo EAD,2003.0,6.88
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,PS3,Sony Computer Entertainment,Naughty Dog,2011.0,6.84
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,PS2,Electronic Arts,EA Los Angeles,2002.0,6.83
150,Crash Bandicoot,crash-bandicoot,Platform,PS,Sony Computer Entertainment,Naughty Dog,1996.0,6.82
151,Zumba Fitness,zumba-fitness,Sports,Wii,Majesco,"Pipeworks Software, Inc.",2010.0,6.76
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,PS3,Sony Computer Entertainment,Naughty Dog,2009.0,6.74
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,PS3,Activision,Infinity Ward,2007.0,6.72
154,FIFA Soccer 12,fifa-soccer-12,Sports,PS3,EA Sports,EA Canada,2011.0,6.65
155,FIFA 14,fifa-14,Sports,PS3,EA Sports,EA Canada,2013.0,6.61
156,Red Dead Redemption,red-dead-redemption,Action,PS3,Rockstar Games,Rockstar San Diego,2011.0,6.57
157,Donkey Kong Country Returns,donkey-kong-country-returns,Platform,Wii,Nintendo,Retro Studios,2010.0,6.53
158,The Legend of Zelda,the-legend-of-zelda,Adventure,NES,Nintendo,Nintendo EAD,1987.0,6.51
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,2012.0,6.5
160,Guild Wars,guild-wars,Role-Playing,PC,NCSoft,ArenaNet,2005.0,6.5
161,Red Dead Redemption,red-dead-redemption,Action,X360,Rockstar Games,Rockstar San Diego,2010.0,6.5
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,2011.0,6.49
163,Final Fantasy XII,final-fantasy-xii,Role-Playing,PS2,Square Enix,Square Enix,2006.0,6.4
164,Tomodachi Life,tomodachi-life,Simulation,3DS,Nintendo,Nintendo,2014.0,6.4
165,Pokemon Crystal Version,pokemon-crystal-version,Role-Playing,GBC,Nintendo,Game Freak,2001.0,6.39
166,Halo 3: ODST,halo-3-odst,Shooter,X360,Microsoft Game Studios,Bungie,2009.0,6.35
167,Minecraft,minecraft,Misc,PS4,Sony Computer Entertainment,Mojang,2014.0,6.33
168,FIFA 15,fifa-15,Sports,PS4,EA Sports,EA Canada,2014.0,6.32
169,Kingdom Hearts,kingdom-hearts,Role-Playing,PS2,Square EA,SquareSoft,2002.0,6.3
170,Street Fighter II: The World Warrior,street-fighter-ii-the-world-warrior,Fighting,SNES,Capcom,Capcom,1992.0,6.3
171,The Last of Us,the-last-of-us,Action-Adventure,PS3,Sony Computer Entertainment America,Naughty Dog,2013.0,6.27
172,Driver,driver,Action,PS,GT Interactive,Reflections Interactive,1999.0,6.27
173,Call of Duty: WWII,call-of-duty-wwii,Shooter,XOne,Activision,Sledgehammer Games,2017.0,6.23
174,God of War (2018),god-of-war-2018,Action,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,2018.0,6.15
175,Big Brain Academy,big-brain-academy,Misc,DS,Nintendo,Nintendo EAD,2006.0,6.15
176,Minecraft,minecraft,Misc,PS3,Sony Computer Entertainment America,Mojang,2014.0,6.05
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,PS2,Konami,Konami Computer Entertainment Japan,2001.0,6.05
178,Metal Gear Solid,metal-gear-solid,Action,PS,Konami,Konami Computer Entertainment Japan,1998.0,6.0
179,Myst,myst,Adventure,PC,Broderbund,Cyan Worlds,1995.0,6.0
180,Sonic the Hedgehog 2,sonic-the-hedgehog-2,Platform,GEN,Sega,Sonic Team,1992.0,6.0
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,PS3,Konami,Kojima Productions,2008.0,6.0
182,Euro Truck Simulator 2,euro-truck-simulator-2,Simulation,PC,SCS Software,SCS Software,2013.0,5.98
183,Mario Kart: Super Circuit,mario-kart-super-circuit,Racing,GBA,Nintendo,Intelligent Systems,2001.0,5.91
184,Super Mario Sunshine,super-mario-sunshine,Platform,GC,Nintendo,Nintendo EAD,2002.0,5.91
185,LittleBigPlanet,littlebigplanet,Platform,PS3,Sony Computer Entertainment,Media Molecule,2008.0,5.85
186,Age of Empires II: HD Edition,age-of-empires-ii-hd-edition,Strategy,PC,Microsoft Studios,Hidden Path Entertainment,2013.0,5.82
187,Super Mario 3D World,super-mario-3d-world,Platform,WiiU,Nintendo,Nintendo EAD Tokyo,2013.0,5.8
188,Link's Crossbow Training,links-crossbow-training,Shooter,Wii,Nintendo,Nintendo EAD,2007.0,5.79
189,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,XOne,Rockstar Games,Rockstar Games,2018.0,5.77
190,New Super Mario Bros. U,new-super-mario-bros-u,Platform,WiiU,Nintendo,Nintendo EAD,2012.0,5.77
191,Destiny,destiny,Shooter,PS4,Activision,Bungie,2014.0,5.76
192,Luigi's Mansion: Dark Moon,luigis-mansion-dark-moon,Adventure,3DS,Nintendo,Next Level Games,2013.0,5.75
193,Tekken 2,tekken-2,Fighting,PS,Namco,Namco,1996.0,5.74
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,PS4,Sony Computer Entertainment,Bluepoint Games,2015.0,5.7
195,Super Mario World: Super Mario Advance 2,super-mario-world-super-mario-advance-2,Platform,GBA,Nintendo,Nintendo EAD,2002.0,5.69
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,Wii,LucasArts,Traveller's Tales,2007.0,5.66
197,Cooking Mama,cooking-mama,Simulation,DS,Majesco,Office Create,2006.0,5.66
198,The Legend of Zelda: Ocarina of Time 3D,the-legend-of-zelda-ocarina-of-time-3d,Action-Adventure,3DS,Nintendo,GREZZO,2011.0,5.62
199,Tetris,tetris,Puzzle,NES,Nintendo,Nintendo,1989.0,5.58
200,Super Mario Advance,super-mario-advance,Platform,GBA,Nintendo,Nintendo EAD,2001.0,5.57
201,Assassin's Creed II,assassins-creed-ii,Action,PS3,Ubisoft,Ubisoft Montreal,2009.0,5.57
202,Super Smash Bros.,super-smash-bros,Fighting,N64,Nintendo,HAL Laboratory,1999.0,5.55
203,Assassin's Creed,assassins-creed,Action,X360,Ubisoft,Ubisoft Montreal,2007.0,5.55
204,Batman: Arkham City,batman-arkham-city,Action,PS3,Warner Bros. Interactive,Rocksteady Studios,2011.0,5.54
205,Forza Motorsport 3,forza-motorsport-3,Racing,X360,Microsoft Game Studios,Turn 10 Studios,2009.0,5.5
206,Dragon Quest IX: Sentinels of the Starry Skies,dragon-quest-ix-sentinels-of-the-starry-skies,Role-Playing,DS,Nintendo,Level 5,2010.0,5.5
207,Final Fantasy IX,final-fantasy-ix,Role-Playing,PS,Square,SquareSoft,2000.0,5.5
208,Final Fantasy X-2,final-fantasy-x-2,Role-Playing,PS2,Square Enix,Square Enix,2003.0,5.5
209,Tomb Raider (2013),tomb-raider-2013,Action,PC,Square Enix,Crystal Dynamics,2013.0,5.5
210,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2015.0,5.48
211,Pokemon Stadium,pokemon-stadium,Strategy,N64,Nintendo,HAL Laboratory,2000.0,5.46
212,Minecraft,minecraft,Misc,XOne,Microsoft Studios,Mojang,2014.0,5.43
213,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,PS3,Activision,Treyarch,2008.0,5.43
214,Super Mario Advance 4: Super Mario Bros. 3,super-mario-advance-4-super-mario-bros-3,Platform,GBA,Nintendo,Nintendo EAD,2003.0,5.43
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,PS2,Universal Interactive,Traveller's Tales,2001.0,5.42
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2015.0,5.39
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,PS3,Square Enix,Square Enix,2010.0,5.35
218,Gran Turismo 5 Prologue,gran-turismo-5-prologue,Racing,PS3,Sony Computer Entertainment,Polyphony Digital,2008.0,5.35
219,Super Smash Bros. for Wii U,super-smash-bros-for-wii-u,Fighting,WiiU,Nintendo,Bandai Namco Games,2014.0,5.35
220,Dr. Mario,dr-mario,Puzzle,GB,Nintendo,Nintendo R&D1,1990.0,5.34
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,X360,Ubisoft,Ubisoft Montreal,2012.0,5.31
222,Pokemon Pinball,pokemon-pinball,Misc,GBC,Nintendo,Jupiter Corporation,1999.0,5.31
223,Assassin's Creed II,assassins-creed-ii,Action,X360,Ubisoft,Ubisoft Montreal,2009.0,5.3
224,Super Mario Party,super-mario-party,Party,NS,Nintendo,"Nd Cube Co., Ltd.",2018.0,5.3
225,The Forest,the-forest,Misc,PC,Endnight Games Ltd,Endnight Games Ltd,2014.0,5.3
226,Donkey Kong 64,donkey-kong-64,Platform,N64,Nintendo,Rare Ltd.,1999.0,5.27
227,Just Dance 2,just-dance-2,Misc,Wii,Ubisoft,Ubisoft Paris,2010.0,5.25
228,Tomb Raider II,tomb-raider-ii,Adventure,PS,Eidos Interactive,Core Design Ltd.,1997.0,5.24
229,Madden NFL 2004,madden-nfl-2004,Sports,PS2,EA Sports,EA Tiburon,2003.0,5.23
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,XOne,Activision,Sledgehammer Games,2014.0,5.22
231,Fallout: New Vegas,fallout-new-vegas,Role-Playing,PC,Bethesda Softworks,Obsidian Entertainment,2010.0,5.22
232,Gran Turismo 6,gran-turismo-6,Racing,PS3,Sony Computer Entertainment America,Polyphony Digital,2013.0,5.22
233,Kingdom Hearts II,kingdom-hearts-ii,Role-Playing,PS2,Square Enix,Square Enix,2006.0,5.2
234,God of War III,god-of-war-iii,Action,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,2010.0,5.2
235,Nintendo Land,nintendo-land,Party,WiiU,Nintendo,Nintendo,2012.0,5.19
236,Super Mario Land 3: Wario Land,super-mario-land-3-wario-land,Platform,GB,Nintendo,Nintendo R&D1,1994.0,5.19
237,Donkey Kong Country 2: Diddy's Kong Quest,donkey-kong-country-2-diddys-kong-quest,Platform,SNES,Nintendo,Rare Ltd.,1995.0,5.15
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,PS2,Electronic Arts,EA Los Angeles,2003.0,5.13
239,Battlefield 1,battlefield-1,Shooter,XOne,Electronic Arts,EA DICE,2016.0,5.13
240,Kirby's Dream Land,kirbys-dream-land,Platform,GB,Nintendo,HAL Laboratory,1992.0,5.13
241,Microsoft Flight Simulator,microsoft-flight-simulator,Simulation,PC,Microsoft,Microsoft,1996.0,5.12
242,Guitar Hero II,guitar-hero-ii,Misc,PS2,RedOctane,Harmonix Music Systems,2006.0,5.12
243,FIFA 13,fifa-13,Sports,X360,EA Sports,EA Canada,2012.0,5.11
244,Resident Evil 5,resident-evil-5,Action,PS3,Capcom,Capcom,2009.0,5.1
