,Year,Franchise,Genre,Platform,Publisher,Developer
2561,2006,Undefined Franchise,Role-Playing,GBA,Marvelous Interactive,Marvelous Interactive
2562,2003,Pokemon,Misc,GBA,Nintendo,Jupiter Corporation
2563,2001,Undefined Franchise,Sports,PS,Sony Computer Entertainment,989 Sports
2564,2009,Undefined Franchise,Misc,DS,Nintendo,Nintendo
2565,2010,Undefined Franchise,Role-Playing,PS2,Namco Bandai,Flight-Plan
2566,2010,Undefined Franchise,Racing,DS,Storm City Games,07th Expansion
2567,2009,Undefined Franchise,Puzzle,PC,eGames,Playrix Entertainment
2568,2009,Undefined Franchise,Misc,Wii,Ubisoft,Ubisoft
2569,2004,Undefined Franchise,Action,PS2,Sammy Corporation,Access Games
2570,2003,Undefined Franchise,Strategy,GBA,Nintendo,Intelligent Systems
2571,2016,Undefined Franchise,Racing,XOne,505 Games,Kunos Simulazioni
2572,1996,Undefined Franchise,Shooter,PC,nan,Nickervision Studios
2573,2010,Undefined Franchise,Sports,PS2,2K Sports,Visual Concepts
2574,2008,Undefined Franchise,Strategy,PSP,System Soft,System Soft
2575,2009,Undefined Franchise,Action,DS,Atari,Razorback Developments
2576,2007,Undefined Franchise,Sports,PSP,Sony Computer Entertainment,Ubisoft
2577,2007,Madden NFL,Sports,PS3,EA Sports,EA Tiburon
2578,1999,Undefined Franchise,Racing,N64,THQ,Pacific Coast Power & Light
2579,2010,Undefined Franchise,Role-Playing,X360,Sega,tri-Ace
2580,2009,Undefined Franchise,Adventure,DS,D3 Publisher,D3 Publisher
2581,2006,Undefined Franchise,Racing,XB,Ubisoft,Ubisoft Montreal
2582,2000,Undefined Franchise,Sports,N64,Electronic Arts,Saffire Corporation
2583,2006,Undefined Franchise,Adventure,PC,Her Interactive,Her Interactive
2584,2010,Undefined Franchise,Simulation,DS,Sega,Full Fat
2585,2011,Undefined Franchise,Shooter,X360,Bethesda Softworks,Splash Damage
2586,2008,Undefined Franchise,Adventure,PSP,Namco Bandai,Bandai Namco Games
2587,2008,Undefined Franchise,Sports,PSP,Ghostlight,The Code Monkeys
2588,2003,Undefined Franchise,Shooter,PS2,Sony Computer Entertainment,Zipper Interactive
2589,2007,Undefined Franchise,Simulation,PS2,Konami,Konami
2590,2000,Undefined Franchise,Strategy,N64,Nintendo,Mass Media
2591,2011,Undefined Franchise,Racing,PC,Ubisoft,Milestone S.r.l
2592,2009,Undefined Franchise,Misc,PC,Big Fish Games,nan
2593,2017,Undefined Franchise,Racing,PS4,Unfinished Pixel,Kylotonn Entertainment
2594,2006,Undefined Franchise,Fighting,PS2,THQ,Yuke's
2595,2010,Undefined Franchise,Misc,DS,Nintendo,Headstrong Games
2596,2009,Undefined Franchise,Simulation,Wii,Majesco,BudCat Creations
2597,2007,Undefined Franchise,Action,Wii,D3 Publisher,D3 Publisher
2598,2012,Undefined Franchise,Misc,X360,THQ,nan
2599,2006,Undefined Franchise,Shooter,GBA,Activision,Activision Value
2600,2000,Undefined Franchise,Racing,PS2,EA Sports,EA Black Box
2601,1999,Undefined Franchise,Misc,PS,Aruze Corp,Aruze Corp
2602,2014,Undefined Franchise,Platform,WiiU,Yacht Club Games,Yacht Club Games
2603,2012,Undefined Franchise,Action,3DS,Nintendo,Project Sora
2604,2014,Undefined Franchise,Misc,PC,04-Aug,nan
