,Year,Franchise,Genre,Platform,Publisher,Developer
0,2008,Undefined Franchise,Sports,PS3,Electronic Arts,EA Canada
1,1996,Undefined Franchise,Misc,PS,Acclaim Entertainment,Digital Illusions
2,2007,Undefined Franchise,Misc,DS,Konami,Konami
3,2007,Undefined Franchise,Misc,PS2,Activision,Zoe Mode
4,2018,Undefined Franchise,Simulation,PS4,Kalypso Media,Gaming Minds Studios
5,2003,Undefined Franchise,Racing,XB,Encore,King of the Jungle
6,2014,Undefined Franchise,Misc,PS3,Capcom,Capcom
7,2014,Undefined Franchise,Misc,PS3,Square Enix,nan
8,2009,Undefined Franchise,Strategy,PC,CDV Software Entertainment,07th Expansion
9,2011,Undefined Franchise,Misc,X360,Sega,Sega
10,2009,Undefined Franchise,Shooter,PC,1C Company,Farm 51
11,2007,Undefined Franchise,Action,Wii,Namco Bandai,Bandai Namco Games
12,2004,Undefined Franchise,Misc,GC,Crave Entertainment,Realtime Associates
13,2011,Undefined Franchise,Adventure,DS,nan,Avanquest Software
14,2018,Undefined Franchise,Action,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.
15,2008,Spider-Man,Action,X360,Activision,Shaba Games / Treyarch
16,2012,Ratchet & Clank,Action,PSV,Sony Computer Entertainment,Insomniac Games
17,2009,Undefined Franchise,Platform,PSP,Sony Computer Entertainment,Pyramid/JAPAN Studio
18,2003,Medal of Honor,Shooter,XB,Electronic Arts,EA Los Angeles
19,2009,Undefined Franchise,Misc,DS,Take-Two Interactive,Uacari
20,2003,Undefined Franchise,Shooter,PS2,Atari,Lost Toys
21,1999,Undefined Franchise,Fighting,PS,Jaleco,Xing Entertainment
22,2001,Undefined Franchise,Role-Playing,PS2,Atlus,Cattle Call
23,2011,Undefined Franchise,Shooter,PS3,THQ,Volition Inc.
24,1999,Undefined Franchise,Puzzle,PS,Hasbro Interactive,07th Expansion
25,2009,Undefined Franchise,Adventure,PC,Deep Silver,Fusionsphere Systems / Animation Arts
26,2008,Undefined Franchise,Strategy,DS,Sega,OmiyaSoft
27,2004,Undefined Franchise,Shooter,XB,Electronic Arts,Dreamworks Games
28,2000,Undefined Franchise,Racing,PS,Sony Computer Entertainment,Codemasters
29,2008,Undefined Franchise,Role-Playing,DS,Aksys Games,Sonic Powered
30,1995,Undefined Franchise,Platform,PC,Sega,Sonic Team
31,2002,Undefined Franchise,Misc,GC,Namco,Mass Media
32,2010,Undefined Franchise,Misc,Wii,Disney Interactive Studios,Artoon
33,2015,Undefined Franchise,Racing,XOne,Ubisoft,RedLynx
34,2014,Pokemon,Role-Playing,3DS,Nintendo,Game Freak
35,2007,Undefined Franchise,Action,DS,Konami,Konami
36,2009,Undefined Franchise,Action,PS2,Activision,MTO
37,2004,Undefined Franchise,Misc,GC,Nintendo,Namco
38,2011,Undefined Franchise,Adventure,DS,nan,Easy Interactive
39,2020,Undefined Franchise,Misc,PC,Activision,nan
40,1999,Undefined Franchise,Role-Playing,PC,04-Aug,07th Expansion
41,2004,Undefined Franchise,Misc,GBA,Majesco,Majesco Games
42,1997,Undefined Franchise,Simulation,PS,Human Entertainment,Human Entertainment
43,2006,Undefined Franchise,Simulation,PS2,Konami,Konami Computer Entertainment Tokyo
44,1996,Undefined Franchise,Shooter,PS,Midway Games,07th Expansion
45,2017,Undefined Franchise,Role-Playing,PS4,Bandai Namco Entertainment,07th Expansion
46,2009,Undefined Franchise,Adventure,DS,DreamCatcher Interactive,Tivola
47,2006,Undefined Franchise,Action,GC,Namco,Monkey Bar Games
48,2010,Undefined Franchise,Sports,Wii,KOEI,Koei
49,2001,Undefined Franchise,Simulation,PS2,Konami,Konami Computer Entertainment Japan
50,2008,Undefined Franchise,Misc,DS,Game Factory,Neko Entertainment
51,2014,Final Fantasy,MMO,PS4,Square Enix,Square Enix
52,1991,Undefined Franchise,Sports,SNES,Banpresto,Banpresto
53,2006,Undefined Franchise,Action,DS,SouthPeak Interactive,07th Expansion
54,2011,Star Wars,Action,3DS,LucasArts,Traveller's Tales
55,2010,NBA 2K,Sports,Wii,2K Sports,Visual Concepts
56,2013,Undefined Franchise,Misc,PC,04-Aug,07th Expansion
57,2009,Undefined Franchise,Action,DS,Activision,Vicarious Visions
58,2006,Undefined Franchise,Role-Playing,PC,NCSoft,ArenaNet
59,2013,Undefined Franchise,Action-Adventure,X360,D3Publisher,Way Forward
60,2002,Undefined Franchise,Action,XB,Sierra Entertainment,Sierra Entertainment
61,2006,Undefined Franchise,Misc,X360,Activision,Left Field Productions
62,2018,Undefined Franchise,Simulation,PC,Focus Home Interactive,Cyanide Studio
63,1997,Undefined Franchise,Shooter,PS,Konami,Konami
64,2006,Undefined Franchise,Misc,X360,Majesco Entertainment,Zoe Mode
65,2015,Undefined Franchise,Simulation,PS4,Focus Home Interactive,Giants Software
66,2012,Undefined Franchise,Fighting,X360,Namco Bandai,Project Soul
67,1998,Undefined Franchise,Sports,PS,Fox Interactive,Gremlin Interactive
68,2008,Undefined Franchise,Adventure,PC,Encore,Big Fish Games
69,2008,Undefined Franchise,Adventure,DS,Capcom,Capcom
70,2006,Undefined Franchise,Role-Playing,PSP,Activision,Vicarious Visions
71,2010,Undefined Franchise,Action,Wii,THQ,THQ
72,2001,Megami Tensei,Role-Playing,PS,Atlus,Atlus Co.
73,2006,Undefined Franchise,Action,GBA,Game Factory,07th Expansion
74,2016,Undefined Franchise,Music,XOne,Ubisoft,Ubisoft
75,2005,Undefined Franchise,Role-Playing,PS2,Sega,Amusement Vision
76,2011,Undefined Franchise,Role-Playing,PSP,Nippon Ichi Software,Nippon Ichi Software
77,2008,Undefined Franchise,Sports,Wii,Sega,Sumo Digital
78,2015,Football Manager,Simulation,PC,Sega,Sports Interactive
79,2018,Undefined Franchise,Racing,Wii,System 3 Arcade Software,Eutechnyx
80,2005,Castlevania,Action,XB,Konami,Konami
81,1997,Star Wars,Action,PS,LucasArts,LucasArts
82,2010,Undefined Franchise,Adventure,DS,Arc System Works,WorkJam
83,2003,Batman,Action,XB,Kemco,"HotGen, Ltd."
84,2000,Undefined Franchise,Fighting,N64,NewKidCo,VIS Entertainment
85,2009,Undefined Franchise,Adventure,Wii,Nintendo,Cing
86,2001,Undefined Franchise,Misc,XB,Microsoft,Blitz Games
87,2017,Undefined Franchise,Role-Playing,PSV,Aquaplus,Aqua Plus
88,2000,Mario,Misc,N64,Nintendo,Hudson Soft
89,2010,Undefined Franchise,Adventure,DS,THQ,Tantalus Interactive
90,2001,Star Wars,Simulation,GC,LucasArts,Factor 5
91,2009,Undefined Franchise,Puzzle,DS,Atari,Sanuk Games
92,2006,Undefined Franchise,Action,DS,THQ,Altron
93,2012,Far Cry,Shooter,PS3,Ubisoft,Ubisoft Montreal
94,2016,Undefined Franchise,Puzzle,PC,04-Aug,07th Expansion
95,2006,Undefined Franchise,Role-Playing,X360,Hudson Soft,Hudson Soft
96,2007,Undefined Franchise,Adventure,DS,Atlus,"BeeWorks Co., Ltd."
97,2010,Undefined Franchise,Misc,PC,Warner Bros. Interactive,Black Lantern Studios
98,2008,Far Cry,Shooter,X360,Ubisoft,Ubisoft Montreal
99,2004,FIFA,Sports,PC,EA Sports,EA Canada
100,2008,Undefined Franchise,Action,Wii,Activision,Toys for Bob
101,2002,Undefined Franchise,Sports,XB,Midway Games,Midway Games
102,2005,Undefined Franchise,Simulation,DS,Atlus,Atlus Co.
103,2008,Undefined Franchise,Puzzle,PC,nan,Sometimes You
104,2018,Undefined Franchise,Adventure,PS4,Arc System Works,Arc System Works
105,2014,Undefined Franchise,Misc,PSV,Sega,nan
106,1995,Undefined Franchise,Racing,PS,Electronic Arts,07th Expansion
107,2010,Undefined Franchise,Strategy,PC,Kalypso,Haemimont Games
108,1999,Undefined Franchise,Sports,SAT,ASCII Entertainment,ParityBit
109,2005,Undefined Franchise,Strategy,XB,2K Games,Firaxis Games
110,1998,Undefined Franchise,Racing,PS,Fox Interactive,Digital Illusions
111,2016,Undefined Franchise,Strategy,PS4,M2,Arc System Works
112,2008,Undefined Franchise,Simulation,PSP,Sony Computer Entertainment,Sony Computer Entertainment Japan
113,2006,Madden NFL,Sports,GC,EA Sports,EA Tiburon
114,2006,Undefined Franchise,Action,PS2,Atari,"The Collective, Inc."
115,2002,Undefined Franchise,Shooter,PS2,Eidos Interactive,Free Radical Design
116,2009,Undefined Franchise,Platform,Wii,Majesco,WayForward Technologies
117,2008,Undefined Franchise,Platform,Wii,2K Play,High Voltage Software
118,1995,Mega Man,Platform,SNES,Capcom,Capcom
119,2004,Undefined Franchise,Fighting,PS2,Atari,"Pipeworks Software, Inc."
120,2009,Undefined Franchise,Racing,Wii,Zoo Games,Team6 Game Studios
121,2003,Undefined Franchise,Strategy,PC,CDV Software Entertainment,Nival Interactive
122,2006,Undefined Franchise,Action,DS,Buena Vista,WayForward Technologies
123,2010,Undefined Franchise,Sports,Wii,Zoo Games,Collision Studios
124,2013,Undefined Franchise,Platform,PS3,System 3,System 3
125,1983,Undefined Franchise,Sports,2600,Activision,Activision
126,2016,Undefined Franchise,Platform,X360,Activision,Toys for Bob
127,2016,Undefined Franchise,Misc,PS4,Ubisoft,Ubisoft
128,2006,FIFA,Sports,GC,EA Sports,EA Canada
129,2007,Undefined Franchise,Fighting,PS2,Aksys Games,Arc System Works
130,2015,Undefined Franchise,Role-Playing,3DS,Rocket Company,Rocket Company
131,2009,Undefined Franchise,Adventure,PS2,Idea Factory,Idea Factory
132,2010,Undefined Franchise,Sports,X360,Microsoft Game Studios,Rare Ltd.
133,2017,Kingdom Hearts,Role-Playing,PS4,Square Enix,Square Enix
134,2010,Tom Clancy's,Action,X360,Ubisoft,Ubisoft Bucharest
135,1997,Undefined Franchise,Simulation,PS,Activision,07th Expansion
136,2005,Undefined Franchise,Shooter,PC,Sierra Entertainment,Irrational Games
137,2003,Gundam,Fighting,PS2,Bandai,Bandai
138,2015,Undefined Franchise,Action,PSV,04-Aug,nan
139,2006,Undefined Franchise,Sports,PC,Sega,Sports Interactive
140,2009,Undefined Franchise,Adventure,Wii,THQ,THQ
141,2014,Undefined Franchise,Fighting,3DS,Namco Bandai Games,Namco Bandai Games
142,2010,Undefined Franchise,Fighting,X360,Ubisoft,07th Expansion
143,1996,FIFA,Sports,PS,EA Sports,EA Canada
144,2009,Undefined Franchise,Action,PS3,KOEI,Omega Force
145,2011,Undefined Franchise,Strategy,DS,Activision,Activision
146,1997,Undefined Franchise,Shooter,PC,Playmates,Shiny Entertainment
147,2016,Undefined Franchise,Adventure,3DS,Aksys Games,Chime
148,2003,Undefined Franchise,Racing,GC,Acclaim Entertainment,Acclaim Studios Cheltenham
149,2004,Undefined Franchise,Sports,GBA,"Destination Software, Inc",07th Expansion
150,2014,Borderlands,Adventure,PC,Telltale Games,Telltale Games
151,2002,Undefined Franchise,Racing,XB,Encore,Kodiak Interactive
152,2009,Undefined Franchise,Adventure,DS,Ubisoft,Other Ocean Interactive
153,2001,Undefined Franchise,Adventure,PS,3DO,3DO
154,2014,Undefined Franchise,Role-Playing,PSV,Sony Computer Entertainment,SCE Japan Studio
155,2002,Undefined Franchise,Action,GC,Interplay,High Voltage Software
156,2008,Metal Gear,Adventure,PS2,Konami,Konami Computer Entertainment Japan
157,1999,Undefined Franchise,Sports,PS,Konami,Konami
158,2009,Undefined Franchise,Misc,DS,Atlus,Nordcurrent
159,2008,Call of Duty,Shooter,DS,Activision,n-Space
160,2010,Undefined Franchise,Adventure,DS,Electronic Arts,07th Expansion
161,2012,Undefined Franchise,Shooter,WiiU,Activision,Eurocom
162,2003,Undefined Franchise,Sports,PS2,Natsume,Natsume
163,2003,Undefined Franchise,Platform,GBA,THQ,Natsume
164,2001,Pokemon,Strategy,N64,Nintendo,HAL Laboratory
165,2018,Monster Hunter,Action,XOne,Capcom,Capcom
166,2006,Undefined Franchise,Sports,PS2,Oxygen Interactive,Gusto Games
167,2000,Total War,Strategy,PC,Electronic Arts,The Creative Assembly
168,2000,Medal of Honor,Shooter,PS,Electronic Arts,DreamWorks Interactive
169,2000,Undefined Franchise,Sports,PS,Sony Computer Entertainment,Clap Hanz
170,2011,Undefined Franchise,Misc,X360,Ubisoft,Ludia Inc.
171,2017,Undefined Franchise,Adventure,PSV,04-Aug,07th Expansion
172,2014,Undefined Franchise,Action,PS4,Focus Home Interactive,Spiders
173,2011,Undefined Franchise,Strategy,PS3,Aksys Games,Compile Heart
174,2003,Undefined Franchise,Racing,PS2,Crave Entertainment,Genki
175,2008,Mario,Platform,3DS,Nintendo,Nintendo EAD
176,2006,Undefined Franchise,Misc,PS2,Crave Entertainment,Point of View
177,2003,Undefined Franchise,Role-Playing,PS2,Square Enix,Square Enix
178,1999,Undefined Franchise,Fighting,N64,Acclaim Entertainment,Iguana Entertainment
179,2000,Undefined Franchise,Fighting,DC,Capcom,Capcom
180,2013,The Legend of Zelda,Action-Adventure,WiiU,Nintendo,Nintendo EAD
181,2012,Undefined Franchise,Role-Playing,PS3,NIS America,Gust
182,1996,Undefined Franchise,Strategy,PC,nan,Cyanide Studios
183,2006,Undefined Franchise,Misc,DS,DSI Games,Black Lantern Studios
184,1989,Undefined Franchise,Platform,NES,04-Aug,Konami
185,2015,Undefined Franchise,Sports,PS3,Maximum Games,HB Studios
186,1995,Undefined Franchise,Shooter,SAT,Sega,Sega
187,2007,Undefined Franchise,Action,Wii,"Destination Software, Inc",Destination Software
188,2005,Undefined Franchise,Adventure,PSP,Sony Computer Entertainment,SCEE
189,2009,Undefined Franchise,Misc,PSP,Rockstar Games,Rockstar Leeds
190,2014,Undefined Franchise,Role-Playing,XOne,Namco Bandai Games,DECK13 Interactive
191,2010,Undefined Franchise,Role-Playing,PC,JoWood Productions,Spellbound Entertainment AG
192,2018,Undefined Franchise,Role-Playing,PS4,Sold Out,Toadman Interactive
193,2012,Undefined Franchise,Platform,PC,nan,07th Expansion
194,2010,Undefined Franchise,Adventure,Wii,Deep Silver,Fusionsphere Systems / Animation Arts
195,2008,Undefined Franchise,Platform,DS,DSI Games,07th Expansion
196,2010,Undefined Franchise,Sports,PS3,Electronic Arts,EA Vancouver
197,2012,Undefined Franchise,Platform,PC,nan,nan
198,2017,Undefined Franchise,Role-Playing,PS4,Sega,Media.Vision
199,2004,Undefined Franchise,Action,XB,KOEI,Omega Force
200,2011,Pro Evolution Soccer,Sports,3DS,Konami,Konami
201,2015,Undefined Franchise,Role-Playing,PSV,D3Publisher,Matrix Software
202,2016,Undefined Franchise,Adventure,DS,Nippon Columbia,Nippon Columbia
203,2015,Undefined Franchise,Adventure,PSV,Dramatic Create,Dramatic Create
204,2010,Undefined Franchise,Sports,PSP,Konami,PawaPuro Production
205,2004,Undefined Franchise,Adventure,XB,VU Games,High Voltage Software
206,2013,Undefined Franchise,Platform,DS,GameMill Entertainment,1st Playable Productions
207,1997,Undefined Franchise,Action,PS,Acclaim Entertainment,07th Expansion
208,2014,Undefined Franchise,Role-Playing,PS4,Ubisoft,Ubisoft Montreal
209,1999,Undefined Franchise,Sports,N64,Konami,Diamond Head
210,2010,FIFA,Sports,X360,EA Sports,EA Canada
211,2018,Undefined Franchise,Role-Playing,XOne,Focus Home Interactive,DONTNOD Entertainment
212,2000,Rayman,Platform,PS,Ubisoft,Ubisoft Shanghai
213,2003,Undefined Franchise,Shooter,XB,Namco,Namco
214,2003,Undefined Franchise,Racing,XB,TDK Mediactive,Synetic
215,2000,Spyro,Platform,PS,Sony Computer Entertainment,Insomniac Games
216,2008,Undefined Franchise,Strategy,PC,SouthPeak Interactive,Haemimont Games
217,2009,Undefined Franchise,Adventure,Wii,THQ,Blue Tongue
218,2004,Undefined Franchise,Misc,GBA,Majesco,Disney Interactive
219,2018,Undefined Franchise,Adventure,PS4,Square Enix,Deck Nine
220,1993,Undefined Franchise,Puzzle,GB,Nintendo,Jupiter Multimedia
221,2013,Undefined Franchise,Misc,PSP,Idea Factory,nan
222,2011,Undefined Franchise,Racing,PS3,Ubisoft,Milestone S.r.l
223,2003,Spyro,Platform,GBA,Universal Interactive,Digital Eclipse
224,2008,FIFA,Sports,PS3,EA Sports BIG,EA Canada
225,2007,Undefined Franchise,Puzzle,DS,Mumbo Jumbo,Mac Play
226,2002,Undefined Franchise,Role-Playing,PC,Microsoft,Gas Powered Games
227,2013,Tomb Raider,Action,PC,Square Enix,Crystal Dynamics
228,2001,Undefined Franchise,Simulation,PC,Ubisoft,07th Expansion
229,2005,Undefined Franchise,Role-Playing,PS2,Midway Games,Midway Studios San Diego
230,2017,Undefined Franchise,Shooter,XOne,Bethesda Softworks,MachineGames
231,2010,Undefined Franchise,Action,PC,nan,Opus Studio
232,2003,Dynasty Warriors,Action,PS2,KOEI,Omega Force
233,1992,Sonic the Hedgehog,Platform,2600,Sega,Aspect
234,2006,Undefined Franchise,Action,GBA,Majesco,Gorilla Games
235,2007,Undefined Franchise,Adventure,PS2,Media Works,07th Expansion
236,2007,Undefined Franchise,Racing,PS2,Midway Games,Creat Studios
237,2012,Undefined Franchise,Role-Playing,PS3,Aksys Games,Compile Heart
238,2008,Undefined Franchise,Adventure,DS,THQ,THQ
239,2001,Final Fantasy,Role-Playing,PS,SquareSoft,SquareSoft
240,2003,Undefined Franchise,Racing,PC,Codemasters,Codemasters
241,2017,Undefined Franchise,Adventure,PSV,Spike Chunsoft,Spike Chunsoft
242,2006,Undefined Franchise,Role-Playing,DS,Namco Bandai,Namco Bandai Games America
243,2012,Madden NFL,Sports,WiiU,EA Sports,EA Tiburon
244,2009,Undefined Franchise,Simulation,DS,Activision,SilverBirch Studios
245,2008,Undefined Franchise,Adventure,PS2,Idea Factory,Idea Factory
246,2009,Undefined Franchise,Adventure,PS2,Sweets,Moonstone
247,2007,Undefined Franchise,Racing,PS3,THQ,Rainbow Studios
248,2008,Undefined Franchise,Strategy,PC,04-Aug,07th Expansion
249,2002,Undefined Franchise,Platform,PS2,THQ,Avalanche Software
250,2006,Need for Speed,Racing,X360,Electronic Arts,EA Black Box
251,2001,Undefined Franchise,Simulation,PS2,Agetec,From Software
252,2010,James Bond,Action,PC,Activision,Bizarre Creations
253,2011,Undefined Franchise,Misc,PS3,Ubisoft,Ubisoft
254,2009,Undefined Franchise,Simulation,DS,DreamCatcher Interactive,ZigZag Island
255,2002,Undefined Franchise,Platform,GBA,Electronic Arts,Argonaut Games
256,2001,Undefined Franchise,Action,PS,Sony Computer Entertainment,Argonaut Games
257,2008,Undefined Franchise,Shooter,Wii,Zoo Games,CyberPlanet Interactive
258,2011,Undefined Franchise,Adventure,Wii,Ubisoft,Ubisoft
259,2004,Undefined Franchise,Adventure,GC,THQ,Blue Tongue
260,2003,Undefined Franchise,Shooter,PC,Ubisoft,Ubisoft Paris
261,2016,Undefined Franchise,Platform,PS4,Electronic Arts,EA DICE
262,2007,Undefined Franchise,Sports,DS,Codemasters,Virtual Toys
263,1998,Undefined Franchise,Role-Playing,PS,Capcom,Capcom
264,2006,Undefined Franchise,Sports,PS2,EA Sports,EA Montreal
265,2007,Undefined Franchise,Puzzle,Wii,Bold Games,Data Design Interactive
266,1997,Undefined Franchise,Simulation,PS,Namco,Namco
267,2014,Undefined Franchise,Fighting,PSV,Arc System Works,Arc System Works
268,1995,Undefined Franchise,Fighting,NG,SNK,SNK Corporation
269,2010,Gundam,Action,DS,Namco Bandai,Bandai Namco Games
270,2009,Undefined Franchise,Misc,X360,Warner Bros. Interactive Entertainment,nan
271,2017,Undefined Franchise,Action,PC,Bethesda Softworks,Arkane Studios
272,2007,Undefined Franchise,Racing,PC,Ubisoft,Reflections Interactive
273,1996,Undefined Franchise,Shooter,PS,Interplay,Parallax Software
274,1999,Undefined Franchise,Platform,PS,Sony Computer Entertainment,SCE Japan Studio
275,2005,Pac-Man,Platform,XB,Namco,Blitz Games
276,1999,Undefined Franchise,Racing,PS,Electronic Arts,Stormfront Studios
277,2009,The Elder Scrolls,Role-Playing,PC,Take-Two Interactive,Bethesda Softworks
278,2009,Undefined Franchise,Action,PC,Electronic Arts,07th Expansion
279,2010,Undefined Franchise,Misc,PS3,nan,Seven45 Studios
280,2018,Undefined Franchise,Adventure,PS4,PQube,5pb. Inc.
281,2016,Undefined Franchise,Strategy,XOne,Nordic Games,KING Art Games
282,2013,Undefined Franchise,Action-Adventure,PS3,505 Games,Engine Software
283,2008,Undefined Franchise,Racing,PC,nan,07th Expansion
284,2002,SpongeBob SquarePants,Action,GBA,THQ,Vicarious Visions
285,2013,Undefined Franchise,Action,X360,Capcom,DONTNOD Entertainment
286,2009,Undefined Franchise,Action,X360,Namco Bandai,Namco Bandai Games
287,2009,Undefined Franchise,Puzzle,DS,Zoo Digital Publishing,Infinite Interactive
288,2009,Undefined Franchise,Puzzle,Wii,Zoo Digital Publishing,Zoo Games silver
289,2000,Undefined Franchise,Racing,PS2,EA Sports,07th Expansion
290,1996,Undefined Franchise,Sports,SAT,Sega,Sega
291,2009,Undefined Franchise,Sports,Wii,2K Sports,07th Expansion
292,1999,Naruto,Fighting,PC,nan,CyberConnect2
293,2007,Undefined Franchise,Action,DS,Kadokawa Shoten,Type-Moon
294,2007,Undefined Franchise,Racing,DS,Activision,Torus Games
295,2008,Imagine,Simulation,DS,Ubisoft,07th Expansion
296,2014,Borderlands,Misc,X360,2K Games,nan
297,2007,Petz,Simulation,PS2,Ubisoft,Yuke's Media Creations
298,2008,Undefined Franchise,Misc,PS2,SNK Playmore,Terminal Reality
299,2009,Undefined Franchise,Racing,Wii,THQ,Rainbow Studios
300,2013,Undefined Franchise,Misc,PSP,Alchemist,ASa Project
301,2006,Undefined Franchise,Action,PSP,Konami,BottleRocket Entertainment
302,2006,NBA Live,Sports,PS2,EA Sports,EA Canada
303,2005,Undefined Franchise,Platform,GC,Global Star Software,High Voltage Software
304,1994,Undefined Franchise,Strategy,PS,ArtDink,ArtDink
305,2014,Undefined Franchise,Action-Adventure,PS4,Warner Bros. Interactive Entertainment,TT Fusion
306,2013,Need for Speed,Racing,PS3,Electronic Arts,Ghost Games
307,2018,Undefined Franchise,Simulation,3DS,Bandai Namco Games,Bandai Namco Games
308,2000,Undefined Franchise,Action,PS2,Sunrise Interactive,Atelier-Sai
309,2011,Undefined Franchise,Platform,DS,Destineer,Spellbound
310,2009,Undefined Franchise,Action,Wii,Atari,Red Fly Studio
311,2004,Tom Clancy's,Action,XB,Ubisoft,Ubisoft Shanghai
312,2008,Undefined Franchise,Adventure,DS,Tecmo,Tecmo
313,2014,Undefined Franchise,Action-Adventure,PC,Warner Bros. Interactive Entertainment,Traveller's Tales
314,2008,Undefined Franchise,Adventure,DS,Arc System Works,WorkJam
315,2017,Undefined Franchise,Sports,PS4,Tru Blu Entertainment,Big Ant Studios
316,2004,Undefined Franchise,Adventure,PC,Ubisoft,369 Interactive
317,2008,Undefined Franchise,Adventure,PS2,Alchemist,Regista
318,2017,Undefined Franchise,Role-Playing,NS,NIS America,Nippon Ichi Software
319,2018,Undefined Franchise,Simulation,PS4,Focus Home Interactive,Giants Software
320,2002,FIFA,Sports,PS2,EA Sports,EA Canada
321,1993,Undefined Franchise,Role-Playing,SNES,04-Aug,07th Expansion
322,2009,Undefined Franchise,Fighting,PSP,Sony Computer Entertainment,Eighting
323,2005,Undefined Franchise,Action,GBA,THQ,Helixe
324,2006,Undefined Franchise,Strategy,PSP,Sony Online Entertainment,Sony Online Entertainment
325,2017,Undefined Franchise,Strategy,XOne,THQ Nordic,5TH Cell
326,2003,Undefined Franchise,Role-Playing,PC,Atari,Piranha Bytes
327,1999,Undefined Franchise,Racing,N64,Electronic Arts,MBL Research
328,2010,Undefined Franchise,Adventure,Wii,Hudson Soft,Hudson Soft
329,2010,Undefined Franchise,Role-Playing,PSP,Atlus,Sting
330,2013,Call of Duty,Shooter,PC,Activision,Infinity Ward
331,2017,Undefined Franchise,Role-Playing,NS,Square Enix,Square Enix
332,2007,Simple,Misc,DS,D3 Publisher,Vingt-et-un Systems
333,2000,Undefined Franchise,Racing,N64,Nintendo,Nintendo Software Technology Corporation
334,2011,Football Manager,Sports,PC,Sega,Sega
335,2006,Undefined Franchise,Adventure,PC,The Adventure Company,Fusionsphere Systems / Animation Arts
336,2010,Undefined Franchise,Sports,X360,Activision,Activision
337,2003,Undefined Franchise,Sports,GC,Acclaim Entertainment,Acclaim Entertainment
338,2014,Undefined Franchise,Misc,PSV,5pb,nan
339,2000,Undefined Franchise,Action,N64,THQ,Avalanche Software
340,2004,Undefined Franchise,Action,GBA,Buena Vista,07th Expansion
341,2007,Undefined Franchise,Puzzle,DS,Nintendo,Jupiter Multimedia
342,2012,Undefined Franchise,Misc,PSP,D3Publisher,nan
343,2009,Undefined Franchise,Simulation,DS,Ubisoft,Ubisoft
344,2010,Undefined Franchise,Misc,Wii,Warner Bros. Interactive,FarSight Studios
345,1996,Mortal Kombat,Fighting,PS,Midway Games,Avalanche Software
346,2013,Undefined Franchise,Misc,PS3,Square Enix,nan
347,2006,Command & Conquer,Strategy,PC,Electronic Arts,07th Expansion
348,2011,Undefined Franchise,Adventure,X360,Ubisoft,Ubisoft
349,1999,Undefined Franchise,Sports,PS,989 Studios,989 Sports
350,2013,Undefined Franchise,Misc,PSV,Arc System Works,nan
351,2008,Need for Speed,Racing,DS,Electronic Arts,Firebrand Games
352,2010,Undefined Franchise,Simulation,PC,Paradox Interactive,VSTEP
353,2002,Undefined Franchise,Simulation,PS2,Agetec,From Software
354,2018,Dark Souls,Role-Playing,XOne,Bandai Namco Entertainment,From Software
355,2003,Undefined Franchise,Racing,XB,Atari,Milestone
356,2003,Undefined Franchise,Action,GBA,Rockstar Games,Mobius Entertainment
357,2007,Undefined Franchise,Action,DS,Disney Interactive Studios,Artificial Mind and Movement
358,2002,Undefined Franchise,Action,GBA,Majesco,07th Expansion
359,2018,Assassin's Creed,Action-Adventure,PS4,Ubisoft,Ubisoft
360,2007,Undefined Franchise,Adventure,PS2,Broccoli,Headlock
361,2011,Undefined Franchise,Action,DS,SouthPeak Interactive,RED Entertainment
362,2004,Undefined Franchise,Misc,XB,Konami,Secret Level
363,2008,Undefined Franchise,Misc,Wii,Majesco,Taito Corporation
364,2014,Undefined Franchise,Action-Adventure,XOne,Warner Bros. Interactive Entertainment,TT Fusion
365,2009,Undefined Franchise,Misc,DS,Genki,Genki
366,2007,Undefined Franchise,Sports,Wii,Konami,Hudson Soft
367,2006,Undefined Franchise,Sports,PSP,Sony Computer Entertainment,SCEE London Studio
368,2010,Undefined Franchise,Simulation,DS,Destineer,TBA
369,2001,Super Smash Bros.,Fighting,GC,Nintendo,HAL Laboratory
370,2006,Undefined Franchise,Adventure,PS2,KOEI,Koei
371,2010,Undefined Franchise,Misc,PSP,Dorart,Dorart
372,2000,Pokemon,Strategy,N64,Nintendo,HAL Laboratory
373,2007,Undefined Franchise,Platform,Wii,Konami,Konami
374,2015,Undefined Franchise,Action,WiiU,Nordic Games,Nordic Games
375,2017,Final Fantasy,Role-Playing,PS4,Square Enix,Square Enix
376,2009,Grand Theft Auto,Adventure,PSP,Rockstar Games,Rockstar Leeds
377,2014,Undefined Franchise,Action,XOne,505 Games,Re-Logic
378,2008,Undefined Franchise,Sports,DS,THQ,Firemint
379,1999,Undefined Franchise,Misc,N64,THQ,Realtime Associates
380,2018,Undefined Franchise,Adventure,PC,nan,07th Expansion
381,2011,Undefined Franchise,Role-Playing,PSP,Falcom Corporation,Nihon Falcom Corporation
382,2009,Undefined Franchise,Sports,PS2,2K Sports,Blue Castle Games
383,2016,Undefined Franchise,Adventure,PC,Bigben Interactive,Bigben Interactive
384,2006,Undefined Franchise,Sports,PC,SouthPeak Interactive,Oxygen Games
385,2009,Undefined Franchise,Shooter,PC,THQ,Volition Inc.
386,2018,Undefined Franchise,Visual Novel,PS4,Kemco,Kemco
