Rank,Name,basename,Platform,Publisher,Developer,Year,Estimated_Sales
2575,NBA 2K14,nba-2k14,XOne,2K Sports,Visual Concepts,2013.0,0.94
2576,NCAA Football 10,ncaa-football-10,X360,EA Sports,EA Tiburon,2009.0,0.94
2577,Lego Batman 3: Beyond Gotham,lego-batman-3-beyond-gotham,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,2014.0,0.94
2578,MLB 2000,mlb-2000,PS,Sony Computer Entertainment,989 Sports,1999.0,0.94
2579,Bully,bully,PS2,Rockstar Games,Rockstar Vancouver,2006.0,0.94
2580,EA Sports Active 2,ea-sports-active-2,PS3,Electronic Arts,EA Vancouver,2010.0,0.94
2581,The Sims 2,the-sims-2,DS,Electronic Arts,Maxis,2005.0,0.94
2582,Prince of Persia: The Sands of Time,prince-of-persia-the-sands-of-time,XB,Ubisoft,Ubisoft Montreal,2003.0,0.94
2583,Hot Shots Golf Fore!,hot-shots-golf-fore,PS2,Sony Computer Entertainment,Clap Hanz,2004.0,0.94
2584,MLB 06: The Show,mlb-06-the-show,PS2,Sony Computer Entertainment,SCEA San Diego Studios,2006.0,0.94
2585,Sniper: Ghost Warrior,sniper-ghost-warrior,PC,City Interactive,City Interactive,2010.0,0.93
2586,NHL 2003,nhl-2003,PS2,EA Sports,EA Canada,2002.0,0.93
2587,SingStar Abba,singstar-abba,PS3,Sony Computer Entertainment,SCEE London Studio,2008.0,0.93
2588,MLB 12: The Show,mlb-12-the-show,PS3,Sony Computer Entertainment,SCE San Diego Studio,2012.0,0.93
2589,Monster Trucks / Quad Desert Fury Double Value!,monster-trucks,GBA,Majesco,Skyworks Technologies,2005.0,0.93
2590,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,XB,Activision,Neversoft Entertainment,2002.0,0.93
2591,Kingdom Hearts Re:coded,kingdom-hearts-recoded,DS,Square Enix,High Horse Entertainment,2011.0,0.93
2592,FIFA Street (2012),fifa-street-2012,X360,EA Sports,EA Canada,2012.0,0.93
2593,Guitar Hero: Metallica,guitar-hero-metallica,Wii,Activision,BudCat Creations,2009.0,0.93
2594,Fallout 76,fallout-76,XOne,Bethesda Softworks,Bethesda Game Studios,2018.0,0.93
2595,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,2-games-in-1-double-pack-finding-nemo,GBA,THQ,Vicarious Visions,2005.0,0.93
2596,Monster High: Ghoul Spirit,monster-high-ghoul-spirit,DS,THQ,THQ,2011.0,0.93
2597,Spider-Man,spider-man,2600,Parker Bros.,Parker Bros.,1982.0,0.93
2598,Castlevania II: Simon's Quest,castlevania-ii-simons-quest,NES,Konami,Konami,1988.0,0.93
2599,Mega Man 4,mega-man-4,NES,Capcom,Capcom,1992.0,0.93
2600,Toy Story 2: Buzz Lightyear to the Rescue!,toy-story-2-buzz-lightyear-to-the-rescue,N64,Activision,Traveller's Tales,1999.0,0.93
2601,Build-A-Bear Workshop,build-a-bear-workshop,DS,Game Factory,Neko Entertainment,2007.0,0.93
2602,Bayonetta,bayonetta,X360,Sega,PlatinumGames,2010.0,0.93
2603,Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,GBA,Konami,Konami,2003.0,0.93
2604,MLB 07: The Show,mlb-07-the-show,PS2,Sony Computer Entertainment,SCE San Diego Studio,2007.0,0.93
2605,Cars,cars,GC,THQ,Rainbow Studios,2006.0,0.93
2606,Jak and Daxter Collection,jak-and-daxter-collection,PS3,Sony Computer Entertainment,Naughty Dog,2012.0,0.93
2607,Operation Flashpoint: Dragon Rising,operation-flashpoint-dragon-rising,X360,Codemasters,Codemasters,2009.0,0.93
2608,The Talos Principle,the-talos-principle,PC,Devolver Digital,Croteam,2014.0,0.93
2609,Monster Hunter: World,monster-hunter-world,XOne,Capcom,Capcom,2018.0,0.93
2610,LEGO The Lord of the Rings,lego-the-lord-of-the-rings,Wii,Warner Bros. Interactive Entertainment,TT Fusion,2012.0,0.93
2611,SnoCross Championship Racing,snocross-championship-racing,PS,Crave Entertainment,UDS,2000.0,0.93
2612,NCAA Football 13,ncaa-football-13,PS3,EA Sports,EA Tiburon,2012.0,0.93
2613,Phoenix Wright: Ace Attorney,phoenix-wright-ace-attorney,DS,Capcom,Capcom,2005.0,0.93
2614,NCAA Football 11,ncaa-football-11,X360,EA Sports,EA Tiburon,2010.0,0.93
2615,Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,PS2,Konami,Konami,2003.0,0.92
2616,Top Gun: Combat Zones,top-gun-combat-zones,PS2,Titus,Digital Integration,2001.0,0.92
2617,Cars,cars,Wii,THQ,Rainbow Studios,2006.0,0.92
2618,007: The World is not Enough,007-the-world-is-not-enough,PS,Electronic Arts,Black Ops Entertainment,2000.0,0.92
2619,Overwatch,overwatch,PC,Blizzard Entertainment,Blizzard Entertainment,2016.0,0.92
2620,NHL 98,nhl-98,PS,EA Sports,EA Canada,1997.0,0.92
2621,Dante's Inferno,dantes-inferno,X360,Electronic Arts,Visceral Games,2010.0,0.92
2622,Nickelodeon Fit,nickelodeon-fit,Wii,2K Play,High Voltage Software,2010.0,0.92
2623,NCAA Football 14,ncaa-football-14,PS3,EA Sports,EA Tiburon,2013.0,0.92
2624,Space Jam,space-jam,PS,Acclaim Entertainment,Sculptured Software,1996.0,0.92
2625,SpongeBob SquarePants: The Yellow Avenger,spongebob-squarepants-the-yellow-avenger,PSP,THQ,Tantalus Interactive,2006.0,0.92
2626,Balloon Fight,balloon-fight,NES,Nintendo,Nintendo R&D1,1986.0,0.92
2627,Knockout Kings 2000,knockout-kings-2000,N64,EA Sports,Black Ops Entertainment,1999.0,0.92
2628,Far Cry 3,far-cry-3,PC,Ubisoft,Ubisoft Montreal,2012.0,0.92
2629,SSX,ssx,PS3,EA Sports,EA Canada,2012.0,0.92
2630,WWE SmackDown vs. Raw 2009,wwe-smackdown-vs-raw-2009,X360,THQ,Yuke's Media Creations,2008.0,0.92
2631,Xenoblade Chronicles,xenoblade-chronicles,Wii,Nintendo,Monolith Soft,2012.0,0.92
2632,Crysis 3,crysis-3,X360,Electronic Arts,Crytek,2013.0,0.92
2633,Killzone: Mercenary,killzone-mercenary,PSV,Sony Computer Entertainment America,Guerrilla Games,2013.0,0.92
2634,Sonic Riders,sonic-riders,GC,Sega,Sonic Team,2006.0,0.92
2635,Starsky & Hutch,starsky-amp-hutch,PS2,Gotham Games,Minds-Eye Productions,2003.0,0.92
2636,Tobal No.1,tobal-no1,PS,Sony Computer Entertainment,DreamFactory,1996.0,0.92
2637,Blue Dragon,blue-dragon,X360,Microsoft Game Studios,Mistwalker Corporation / Artoon,2007.0,0.92
2638,BUZZ! Quiz World,buzz-quiz-world,PS3,Sony Computer Entertainment,Magenta Software,2009.0,0.92
2639,Kung Fu Panda,kung-fu-panda,Wii,Activision,XPEC,2008.0,0.92
2640,EA Sports Grand Slam Tennis,ea-sports-grand-slam-tennis,Wii,EA Sports,EA Vancouver,2009.0,0.92
2641,Farming Simulator 2013,farming-simulator-2013,PC,Focus Home Interactive,Giants Software,2012.0,0.91
2642,Dynasty Warriors 7,dynasty-warriors-7,PS3,Tecmo Koei,Omega Force,2011.0,0.91
2643,Portal Knights,portal-knights,PC,505 Games,Keen Games,2016.0,0.91
2644,Street Hoops,street-hoops,PS2,Activision,Black Ops Entertainment,2002.0,0.91
2645,Crysis 3,crysis-3,PS3,Electronic Arts,Crytek,2013.0,0.91
2646,Knockout Kings 2002,knockout-kings-2002,PS2,EA Sports,Black Ops Entertainment,2002.0,0.91
2647,Tom Clancy's EndWar,tom-clancys-endwar,X360,Ubisoft,Ubisoft Shanghai,2008.0,0.91
2648,Tokyo Xtreme Racer 3,tokyo-xtreme-racer-3,PS2,Crave Entertainment,Genki,2003.0,0.91
2649,Sonic Riders: Zero Gravity,sonic-riders-zero-gravity,Wii,Sega,Sonic Team,2008.0,0.91
2650,Colin McRae Rally 2.0,colin-mcrae-rally-20,PS,Codemasters,Codemasters,2000.0,0.91
2651,Glover,glover,N64,Hasbro Interactive,Interactive Studios Ltd.,1998.0,0.91
2652,LEGO Pirates of the Caribbean: The Video Game,lego-pirates-of-the-caribbean-the-video-game,DS,Disney Interactive Studios,Traveller's Tales,2011.0,0.91
2653,Namco Museum,namco-museum,XB,Namco,Mass Media,2002.0,0.91
2654,AMF Bowling Pinbusters!,amf-bowling-pinbusters,Wii,Mud Duck Productions,Atomic Planet Entertainment,2007.0,0.91
2655,Skylanders: Trap Team,skylanders-trap-team,X360,Activision,Toys for Bob,2014.0,0.91
2656,Super Momotarou Dentetsu III,super-momotarou-dentetsu-iii,SNES,Hudson Soft,Hudson Soft,1994.0,0.91
2657,Sonic Mega Collection Plus,sonic-mega-collection-plus,XB,Sega,Sonic Team,2004.0,0.91
2658,Operation Flashpoint: Dragon Rising,operation-flashpoint-dragon-rising,PS3,Codemasters,Codemasters,2009.0,0.91
2659,Spelunky,spelunky,PC,"Mossmouth, LLC","Mossmouth, LLC",2008.0,0.91
2660,Mx vs. ATV Reflex,mx-vs-atv-reflex,PS3,THQ,Rainbow Studios,2009.0,0.91
2661,Assassin's Creed,assassins-creed,PC,Ubisoft,Ubisoft Montreal,2008.0,0.91
2662,Tiger Woods PGA Tour 2002,tiger-woods-pga-tour-2002,PS2,EA Sports,EA Sports,2002.0,0.9
2663,The Witcher 2: Assassins of Kings,the-witcher-2-assassins-of-kings,X360,Warner Bros. Interactive,CD Projekt Red Studio,2012.0,0.9
2664,Homefront,homefront,PS3,THQ,Kaos Studios,2011.0,0.9
2665,Lost Odyssey,lost-odyssey,X360,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,2008.0,0.9
2666,DJ Hero,dj-hero,PS3,Activision,FreeStyleGames,2009.0,0.9
2667,Marvel: Ultimate Alliance 2,marvel-ultimate-alliance-2,X360,Activision,Vicarious Visions,2009.0,0.9
2668,Cars 2,cars-2,Wii,Disney Interactive Studios,Avalanche Software,2011.0,0.9
2669,Mini-Yonku Shining Scorpion: Let's & Go!!,mini-yonku-shining-scorpion-lets-amp-go,SNES,ASCII Entertainment,KID Corporation,1996.0,0.9
2670,MLB 2005,mlb-2005,PS2,Sony Computer Entertainment,989 Sports,2004.0,0.9
2671,Burnout Revenge,burnout-revenge,PS2,Electronic Arts,Criterion Games,2005.0,0.9
2672,SOCOM 4: U.S. Navy SEALs,socom-4-us-navy-seals,PS3,Sony Computer Entertainment,Zipper Interactive,2011.0,0.9
2673,James Cameron's Avatar: The Game,james-camerons-avatar-the-game,PS3,Ubisoft,Ubisoft Montreal,2009.0,0.9
2674,Destruction Derby,destruction-derby,PS,Psygnosis,Reflections Interactive,1995.0,0.9
2675,Killzone: Liberation,killzone-liberation,PSP,Sony Computer Entertainment,Guerrilla Games,2006.0,0.9
2676,The Biggest Loser: Ultimate Workout,the-biggest-loser-ultimate-workout,X360,THQ,Blitz Games,2010.0,0.9
2677,3Xtreme,3xtreme,PS,989 Studios,,1999.0,0.9
2678,Hot Shots Tennis,hot-shots-tennis,PS2,Sony Computer Entertainment,Clap Hanz,2007.0,0.9
2679,Far Cry 4,far-cry-4,X360,Ubisoft,Ubisoft Montreal,2014.0,0.9
2680,Resistance: Retribution,resistance-retribution,PSP,Sony Computer Entertainment,SCEA Bend Studio,2009.0,0.9
2681,Final Fantasy X / X-2 HD Remaster,final-fantasy-x,PS4,Square Enix,Square Enix,2015.0,0.9
2682,Sonic Heroes,sonic-heroes,XB,Sega,Sonic Team,2004.0,0.9
2683,Madden NFL 99,madden-nfl-99,N64,EA Sports,EA Tiburon,1998.0,0.9
2684,Spider-Man 3,spider-man-3,PS2,Activision,Vicarious Visions,2007.0,0.9
2685,James Bond 007: Agent Under Fire,james-bond-007-agent-under-fire,XB,Electronic Arts,EA Redwood Shores,2002.0,0.9
2686,Reus,reus,PC,Abbey Games,Abbey Games,2013.0,0.9
2687,X-Men Legends,x-men-legends,XB,Activision,Raven Software,2004.0,0.9
2688,NBA Live 2005,nba-live-2005,XB,EA Sports,EA Canada,2004.0,0.9
2689,LEGO Indiana Jones 2: The Adventure Continues,lego-indiana-jones-2-the-adventure-continues,PS3,LucasArts,Traveller's Tales,2009.0,0.9
2690,Harry Potter: Quidditch World Cup,harry-potter-quidditch-world-cup,PS2,Electronic Arts,Electronic Arts,2003.0,0.9
2691,Buzz! Master Quiz,buzz-master-quiz,PSP,Sony Computer Entertainment,Relentless Software,2008.0,0.9
2692,Madagascar,madagascar,GBA,Activision,Vicarious Visions,2005.0,0.89
2693,God of War Saga,god-of-war-saga,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,2012.0,0.89
2694,Injustice 2,injustice-2,XOne,Warner Bros. Interactive Entertainment,NetherRealm Studios,2017.0,0.89
2695,Blitz: The League,blitz-the-league,PS2,Midway Games,Midway Games,2005.0,0.89
2696,Minecraft: Story Mode,minecraft-story-mode,PS3,Mojang,Telltale Games,2015.0,0.89
2697,TouchMaster 2,touchmaster-2,DS,Midway Games,Midway Studios San Diego,2008.0,0.89
2698,Castlevania: Circle of the Moon,castlevania-circle-of-the-moon,GBA,Konami,KCEK,2001.0,0.89
2699,Pure,pure,PS3,Disney Interactive Studios,Black Rock Studio,2008.0,0.89
2700,Ni no Kuni II: Revenant Kingdom,ni-no-kuni-ii-revenant-kingdom,PS4,Namco Bandai Games,Level 5,2018.0,0.89
2701,Tiger Woods PGA Tour 06,tiger-woods-pga-tour-06,PS2,EA Sports,EA Sports,2005.0,0.89
2702,Classic NES Series: The Legend of Zelda,classic-nes-series-the-legend-of-zelda,GBA,Nintendo,Nintendo,2004.0,0.89
2703,Fire Emblem: The Sacred Stones,fire-emblem-the-sacred-stones,GBA,Nintendo,Intelligent Systems,2005.0,0.89
2704,Rhythm Heaven Fever,rhythm-heaven-fever,Wii,Nintendo,Nintendo / TNX,2012.0,0.89
2705,Pokemon Card GB2: GRdan Sanjou,pokemon-card-gb2-grdan-sanjou,GB,Nintendo,Hudson Soft,2001.0,0.89
2706,Metal Gear Solid V: Ground Zeroes,metal-gear-solid-v-ground-zeroes,PC,Konami Digital Entertainment,Kojima Productions,2014.0,0.89
2707,God of War III Remastered,god-of-war-iii-remastered,PS4,Sony Computer Entertainment,SCEA Santa Monica Studio,2015.0,0.89
2708,We Ski & Snowboard,we-ski-amp-snowboard,Wii,Namco Bandai,Namco Bandai Games,2009.0,0.89
2709,Finding Nemo,finding-nemo,GC,THQ,Traveller's Tales,2003.0,0.89
2710,Tiger Woods PGA Tour 12: The Masters,tiger-woods-pga-tour-12-the-masters,PS3,EA Sports,EA Tiburon,2011.0,0.89
2711,Ace Combat 2,ace-combat-2,PS,Namco,Namco,1997.0,0.89
2712,Dissidia 012: Duodecim Final Fantasy,dissidia-012-duodecim-final-fantasy,PSP,Square Enix,Square Enix,2011.0,0.89
2713,NFL 2K2,nfl-2k2,PS2,Sega,Visual Concepts,2001.0,0.89
2714,Resident Evil: Revelations,resident-evil-revelations,3DS,Capcom,Capcom,2012.0,0.89
2715,Call of Duty: World at War,call-of-duty-world-at-war,DS,Activision,n-Space,2008.0,0.89
2716,CSI: Hard Evidence,csi-hard-evidence,Wii,Ubisoft,Telltale Games,2008.0,0.89
2717,The Tomb Raider Trilogy,the-tomb-raider-trilogy,PS3,Square Enix,Crystal Dynamics,2011.0,0.89
2718,Assassin's Creed III,assassins-creed-iii,PC,Ubisoft,Ubisoft Montreal,2012.0,0.89
2719,Fortnite,fortnite,PS4,Gearbox Software,Epic Games,2017.0,0.89
2720,Fossil Fighters,fossil-fighters,DS,Nintendo,RED Entertainment,2009.0,0.89
2721,FIFA Soccer 09 All-Play,fifa-soccer-09-all-play,Wii,Electronic Arts,EA Canada,2008.0,0.89
2722,Samba De Amigo,samba-de-amigo,Wii,Sega,Gearbox Software,2008.0,0.89
2723,MLB 2001,mlb-2001,PS,Sony Computer Entertainment,989 Sports,2000.0,0.89
2724,Duke Nukem Forever,duke-nukem-forever,PC,2K Games,Gearbox Software,2011.0,0.89
2725,The Simpsons Game,the-simpsons-game,PS3,Electronic Arts,EA Redwood Shores,2007.0,0.89
2726,SingStar Anthems,singstar-anthems,PS2,Sony Computer Entertainment,SCEE London Studio,2006.0,0.89
2727,Seiken Densetsu 3,seiken-densetsu-3,SNES,Square,SquareSoft,1995.0,0.89
2728,Mega Man 8 Anniversary Collector's Edition,mega-man-8-anniversary-collectors-edition,PS,Capcom,Capcom,1997.0,0.88
2729,Buzz! Quiz TV,buzz-quiz-tv,PS3,Sony Computer Entertainment,Relentless Software,2008.0,0.88
2730,F1 2010,f1-2010,X360,Codemasters,Codemasters Birmingham,2010.0,0.88
2731,Call of Juarez: Bound in Blood,call-of-juarez-bound-in-blood,PS3,Ubisoft,Techland,2009.0,0.88
2732,The Lord of the Rings: War in the North,the-lord-of-the-rings-war-in-the-north,X360,Warner Bros. Interactive,Snowblind Studios,2011.0,0.88
2733,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,DS,LucasArts,n-Space,2008.0,0.88
2734,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,PC,Activision,Infinity Ward,2009.0,0.88
2735,LittleBigPlanet Karting,littlebigplanet-karting,PS3,Sony Computer Entertainment,United Front Games,2012.0,0.88
2736,Monster 4x4: World Circuit,monster-4x4-world-circuit,Wii,Ubisoft,Ubisoft Montreal,2006.0,0.88
2737,NBA 2K6,nba-2k6,PS2,2K Sports,,2005.0,0.88
2738,Sonic Chronicles: The Dark Brotherhood,sonic-chronicles-the-dark-brotherhood,DS,Sega,BioWare Corp.,2008.0,0.88
2739,Buzz! The Mega Quiz,buzz-the-mega-quiz,PS2,Sony Computer Entertainment,Relentless Software,2007.0,0.88
2740,Star Wars: Rebel Assault II - The Hidden Empire,star-wars-rebel-assault-ii-the-hidden-empire,PS,LucasArts,Factor 5,1996.0,0.88
2741,Rock Band 3,rock-band-3,X360,MTV Games,Harmonix Music Systems,2010.0,0.88
2742,F1 2009,f1-2009,Wii,Codemasters,Sumo Digital,2009.0,0.88
2743,LEGO Harry Potter Collection,lego-harry-potter-collection,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,2016.0,0.88
2744,WWE SmackDown vs. Raw 2011,wwe-smackdown-vs-raw-2011,X360,THQ,JAKKS Pacific,2010.0,0.88
2745,ESPN NHL 2K5,espn-nhl-2k5,PS2,Sega,Kush Games,2004.0,0.88
2746,Madden NFL 08,madden-nfl-08,Wii,EA Sports,EA Tiburon,2007.0,0.88
2747,Metal Gear Ac!d,metal-gear-acd,PSP,Konami,Konami,2005.0,0.87
2748,Crimson Skies: High Road to Revenge,crimson-skies-high-road-to-revenge,XB,Microsoft Game Studios,FASA Studio,2003.0,0.87
2749,Spec Ops: Ranger Elite,spec-ops-ranger-elite,PS,Take-Two Interactive,Runecraft,2001.0,0.87
2750,Gex,gex,PS,Crystal Dynamics,Crystal Dynamics,1995.0,0.87
2751,Minecraft: Story Mode,minecraft-story-mode,PS4,Mojang,Telltale Games,2015.0,0.87
2752,Tales of Xillia 2,tales-of-xillia-2,PS3,Namco Bandai Games,,2014.0,0.87
2753,Peppa Pig: The Game,peppa-pig-the-game,DS,Pinnacle,Asylum Entertainment,2008.0,0.87
2754,Michael Jackson: The Experience,michael-jackson-the-experience,X360,Ubisoft,Ubisoft Montreal,2011.0,0.87
2755,Derby Stallion II,derby-stallion-ii,SNES,ASCII Entertainment,ASCII Entertainment,1994.0,0.87
2756,Tom Clancy's Ghost Recon: Island Thunder,tom-clancys-ghost-recon-island-thunder,XB,Ubisoft,Red Storm Entertainment,2003.0,0.87
2757,Sleeping Dogs,sleeping-dogs,X360,Square Enix,United Front Games,2012.0,0.87
2758,Kingdoms of Amalur: Reckoning,kingdoms-of-amalur-reckoning,X360,Electronic Arts,38 Studios,2012.0,0.87
2759,LEGO Dimensions,lego-dimensions,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,2015.0,0.87
2760,Need for Speed: V-Rally,need-for-speed-v-rally,PS,Electronic Arts,Infogrames,1997.0,0.87
2761,Kingdom Hearts Re: Chain of Memories,kingdom-hearts-re-chain-of-memories,PS2,Square Enix,Jupiter Corporation,2008.0,0.87
2762,Final Fantasy XIV Online,final-fantasy-xiv-online,PS3,Square Enix,Square Enix,2013.0,0.87
2763,Super Bomberman R,super-bomberman-r,NS,Konami Digital Entertainment,HexaDrive,2017.0,0.87
2764,The Evil Within,the-evil-within,PS3,Bethesda Softworks,Tango Gameworks,2014.0,0.87
2765,NFL GameDay '97,nfl-gameday-97,PS,Sony Computer Entertainment,SCEA,1996.0,0.87
2766,Paper Mario: Color Splash,paper-mario-color-splash,WiiU,Nintendo,Intelligent Systems,2016.0,0.87
2767,Tony Hawk's Project 8,tony-hawks-project-8,PS2,Activision,Shaba Games,2006.0,0.87
2768,Grand Theft Auto IV,grand-theft-auto-iv,PC,Rockstar Games,Rockstar Toronto,2008.0,0.87
2769,NHL 2000,nhl-2000,PS,EA Sports,EA Canada,1999.0,0.87
2770,Cooking Mama: World Kitchen,cooking-mama-world-kitchen,Wii,Majesco,Cooking Mama Limited,2008.0,0.87
2771,GRID,grid,X360,Codemasters,Codemasters,2008.0,0.87
2772,DiRT,dirt,X360,Codemasters,Codemasters,2007.0,0.87
2773,Red Faction: Guerrilla,red-faction-guerrilla,X360,THQ,Volition Inc.,2009.0,0.87
2774,Fight Night Round 2,fight-night-round-2,PS2,EA Sports,EA Sports,2005.0,0.87
2775,Mario Party: Star Rush,mario-party-star-rush,3DS,Nintendo,"Nd Cube Co., Ltd.",2016.0,0.87
2776,Conflict: Desert Storm,conflict-desert-storm,XB,Gotham Games,Pivotal Games,2002.0,0.87
2777,Triple Play 2002,triple-play-2002,PS2,EA Sports,Pandemic Studios,2002.0,0.87
2778,Brothers In Arms: Hell's Highway,brothers-in-arms-hells-highway,X360,Ubisoft,Gearbox Software,2008.0,0.87
2779,Vagrant Story,vagrant-story,PS,Square EA,SquareSoft,2000.0,0.87
2780,Warriors Orochi,warriors-orochi,PS2,KOEI,Omega Force,2007.0,0.87
2781,Mercenaries 2: World in Flames,mercenaries-2-world-in-flames,PS3,Electronic Arts,Pandemic Studios,2008.0,0.87
2782,Ghostbusters: The Video Game,ghostbusters-the-video-game,Wii,Atari,Red Fly Studio,2009.0,0.87
2783,Wizards of Waverly Place,wizards-of-waverly-place,DS,Disney Interactive Studios,"Black Lantern Studios, Inc.",2009.0,0.87
2784,Enduro,enduro,2600,Activision,Activision,1983.0,0.87
2785,For Honor,for-honor,XOne,Ubisoft,Ubisoft Montreal,2017.0,0.87
2786,Endless Ocean: Blue World,endless-ocean-blue-world,Wii,Nintendo,Arika,2010.0,0.87
2787,SingStar '90s,singstar-90s,PS2,Sony Computer Entertainment,SCEE London Studio,2008.0,0.87
2788,Dead Rising 4,dead-rising-4,XOne,Microsoft Studios,Capcom,2016.0,0.87
2789,Wii Fit U,wii-fit-u,WiiU,Nintendo,Nintendo,2014.0,0.86
2790,Final Fantasy X / X-2 HD Remaster,final-fantasy-x,PSV,Square Enix,Square Enix,2014.0,0.86
2791,Lost Castle,lost-castle,PC,,Hunter Studio,2014.0,0.86
2792,Tales of the Abyss,tales-of-the-abyss,3DS,Namco Bandai,Namco Tales Studio,2012.0,0.86
2793,Lemmings,lemmings,PSP,Sony Computer Entertainment,Team17 Software,2006.0,0.86
2794,Beijing 2008,beijing-2008,PS3,Sega,Eurocom Entertainment Software,2008.0,0.86
2795,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,PSP,Konami,Konami Computer Entertainment Tokyo,2007.0,0.86
2796,Rocky,rocky,PS2,Ubisoft,Rage Software,2002.0,0.86
2797,BioShock: The Collection,bioshock-the-collection,PS4,2K Games,"Blind Squirrel Digital, Inc",2016.0,0.86
2798,Dishonored 2,dishonored-2,XOne,Bethesda Softworks,Arkane Studios,2016.0,0.86
2799,Ford Racing,ford-racing,PS,Empire Interactive,2K Games,2001.0,0.86
2800,Rise of Nations,rise-of-nations,PC,Microsoft Game Studios,Big Huge Games,2003.0,0.86
2801,Plants vs. Zombies: Garden Warfare 2,plants-vs-zombies-garden-warfare-2,XOne,Electronic Arts,PopCap Games,2016.0,0.86
2802,Madden Football 64,madden-football-64,N64,EA Sports,EA Tiburon,1997.0,0.86
2803,LEGO Batman 2: DC Super Heroes,lego-batman-2-dc-super-heroes,3DS,Warner Bros. Interactive Entertainment,TT Fusion,2012.0,0.86
2804,Magicka 2,magicka-2,PC,Paradox Interactive,Paradox Interactive,2015.0,0.86
2805,MLB 99,mlb-99,PS,Sony Computer Entertainment,Sony Interactive Studios America,1998.0,0.86
2806,Guitar Hero: Warriors of Rock,guitar-hero-warriors-of-rock,X360,Activision,Neversoft Entertainment,2010.0,0.86
2807,Bayonetta 2,bayonetta-2,WiiU,Nintendo,PlatinumGames,2014.0,0.86
2808,Gold's Gym: Dance Workout,golds-gym-dance-workout,Wii,Ubisoft,Land Ho!,2010.0,0.86
2809,Dynasty Warriors 4: Xtreme Legends,dynasty-warriors-4-xtreme-legends,PS2,KOEI,Omega Force,2003.0,0.86
2810,Pictionary,pictionary,Wii,THQ,"Page 44 Studios, LLC",2010.0,0.86
2811,HuniePop,huniepop,PC,,HuniePot,2010.0,0.86
2812,Mafia III,mafia-iii,PC,2K Games,Hangar 13,2016.0,0.86
2813,Tomb Raider: Anniversary,tomb-raider-anniversary,Wii,Eidos Interactive,Crystal Dynamics,2007.0,0.85
2814,Army Men: Air Attack,army-men-air-attack,PS,3DO,3DO,1999.0,0.85
2815,Kingdoms of Amalur: Reckoning,kingdoms-of-amalur-reckoning,PS3,Electronic Arts,38 Studios,2012.0,0.85
2816,Thief,thief,PS4,Square Enix,Eidos Montreal,2014.0,0.85
2817,FIFA Soccer 08,fifa-soccer-08,DS,EA Sports,EA Canada,2007.0,0.85
2818,2010 FIFA World Cup South Africa,2010-fifa-world-cup-south-africa,X360,EA Sports,EA Canada,2010.0,0.85
2819,NBA 2K8,nba-2k8,X360,2K Sports,Visual Concepts,2007.0,0.85
2820,Until Dawn: Rush of Blood,until-dawn-rush-of-blood,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,2016.0,0.85
2821,Ninja Gaiden Sigma 2,ninja-gaiden-sigma-2,PS3,Tecmo Koei,Team Ninja,2009.0,0.85
2822,Street Fighter Alpha 2,street-fighter-alpha-2,PS,Capcom,Capcom,1996.0,0.85
2823,Disney Infinity 3.0,disney-infinity-30,PS4,Disney Interactive Studios,Avalanche Software,2015.0,0.85
2824,Tiger Woods PGA Tour 2005,tiger-woods-pga-tour-2005,XB,EA Sports,EA Redwood Shores,2004.0,0.85
2825,Dragon Ball Z: Burst Limit,dragon-ball-z-burst-limit,PS3,Atari,Dimps Corporation,2008.0,0.85
2826,Castlevania III: Dracula's Curse,castlevania-iii-draculas-curse,NES,Konami,Konami,1990.0,0.85
2827,Army of Two: The 40th Day,army-of-two-the-40th-day,PS3,Electronic Arts,EA Montreal,2010.0,0.85
2828,Rampage World Tour,rampage-world-tour,PS,Midway Games,Game Refuge,1997.0,0.85
2829,The Legendary Starfy,the-legendary-starfy,DS,Nintendo,TOSE Software,2009.0,0.85
2830,Red Orchestra: Ostfront 41-45,red-orchestra-ostfront-41-45,PC,Tripwire Interactive,Tripwire Interactive,2006.0,0.85
2831,Farming Simulator 17,farming-simulator-17,PS4,Focus Home Interactive,Giants Software,2016.0,0.85
2832,Burnout Legends,burnout-legends,PSP,Electronic Arts,Criterion Games,2005.0,0.85
2833,NCAA Football 11,ncaa-football-11,PS3,EA Sports,EA Tiburon,2010.0,0.85
2834,LEGO Jurassic World,lego-jurassic-world,3DS,Warner Bros. Interactive Entertainment,TT Fusion,2015.0,0.85
2835,Ratatouille,ratatouille,PS2,THQ,Asobo Studio,2007.0,0.85
