Rank,Name,basename,Platform,Publisher,Developer,Year,Estimated_Sales
62,Super Mario 3D Land,super-mario-3d-land,3DS,Nintendo,Nintendo EAD Tokyo,2011.0,12.41
63,Animal Crossing: New Leaf,animal-crossing-new-leaf,3DS,Nintendo,Nintendo EAD,2013.0,12.1
64,Super Smash Bros. Ultimate,super-smash-bros-ultimate,NS,Nintendo,Bandai Namco Games,2018.0,12.08
65,Diablo III,diablo-iii,PC,Blizzard Entertainment,Blizzard Entertainment,2012.0,12.0
66,Pokemon FireRed / LeafGreen Version,pokmon-firered,GBA,Nintendo,Game Freak,2004.0,12.0
67,Gran Turismo 5,gran-turismo-5,PS3,Sony Computer Entertainment,Polyphony Digital,2010.0,11.95
68,Super Mario 64,super-mario-64,N64,Nintendo,Nintendo EAD,1996.0,11.91
69,FIFA 18,fifa-18,PS4,EA Sports,EA Vancouver,2017.0,11.8
70,Gran Turismo 4,gran-turismo-4,PS2,Sony Computer Entertainment,Polyphony Digital,2005.0,11.76
71,Animal Crossing: Wild World,animal-crossing-wild-world,DS,Nintendo,Nintendo EAD,2005.0,11.75
72,The Legend of Zelda: Breath of the Wild,the-legend-of-zelda-breath-of-the-wild,NS,Nintendo,Nintendo EPD,2017.0,11.68
73,Super Mario Land 2: 6 Golden Coins,super-mario-land-2-6-golden-coins,GB,Nintendo,Nintendo R&D1,1992.0,11.18
74,Grand Theft Auto IV,grand-theft-auto-iv,X360,Rockstar Games,Rockstar North,2008.0,11.09
75,Super Mario 64 DS,super-mario-64-ds,DS,Nintendo,Nintendo EAD,2004.0,11.06
76,Terraria,terraria,PC,505 Games,Re-Logic,2011.0,11.0
77,FIFA 17,fifa-17,PS4,Electronic Arts,EA Canada,2016.0,10.94
78,Gran Turismo,gran-turismo,PS,Sony Computer Entertainment,Polyphony Digital,1998.0,10.85
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,PS3,Activision,Infinity Ward,2009.0,10.61
80,Grand Theft Auto IV,grand-theft-auto-iv,PS3,Rockstar Games,Rockstar North,2008.0,10.57
81,Super Mario All-Stars,super-mario-all-stars,SNES,Nintendo,Nintendo EAD,1993.0,10.55
82,Call of Duty: Ghosts,call-of-duty-ghosts,X360,Activision,Infinity Ward,2013.0,10.41
83,Just Dance 3,just-dance-3,Wii,Ubisoft,Ubisoft Paris,2011.0,10.14
84,Call of Duty: Ghosts,call-of-duty-ghosts,PS3,Activision,Infinity Ward,2013.0,10.13
85,Horizon: Zero Dawn,horizon-zero-dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,2017.0,10.0
86,"Pokemon: Let's Go, Pikachu/Eevee"," pikachueevee""",NS,Nintendo,Game Freak,2018.0,10.0
87,RollerCoaster Tycoon 3,rollercoaster-tycoon-3,PC,Atari,Frontier Developments,2004.0,10.0
88,Halo: Reach,halo-reach,X360,Microsoft Game Studios,Bungie,2010.0,9.97
89,Portal,portal,PC,Valve Corporation,Valve Software,2008.0,9.97
90,Halo 4,halo-4,X360,Microsoft Studios,343 Industries,2012.0,9.96
91,Final Fantasy VII,final-fantasy-vii,PS,Sony Computer Entertainment,SquareSoft,1997.0,9.9
92,Mario Kart 64,mario-kart-64,N64,Nintendo,Nintendo EAD,1997.0,9.87
93,StarCraft,starcraft,PC,Blizzard Entertainment,Blizzard Entertainment,1998.0,9.5
94,Super Smash Bros. for 3DS,super-smash-bros-for-3ds,3DS,Nintendo,Bandai Namco Games,2014.0,9.45
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,X360,Activision,Infinity Ward,2007.0,9.41
96,Gran Turismo 2,gran-turismo-2,PS,Sony Computer Entertainment,Polyphony Digital,1999.0,9.37
97,Wii Party,wii-party,Wii,Nintendo,"Nd Cube Co., Ltd.",2010.0,9.32
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,PS4,Activision,Treyarch,2018.0,9.32
99,Mario Party DS,mario-party-ds,DS,Nintendo,Hudson Soft,2007.0,9.31
100,Donkey Kong Country,donkey-kong-country,SNES,Nintendo,Rare Ltd.,1994.0,9.3
101,FIFA 19,fifa-19,PS4,Electronic Arts,EA Sports,2018.0,9.15
102,Rust,rust,PC,Facepunch Studios,Facepunch Studios,2018.0,9.15
103,Marvel's Spider-Man,marvels-spider-man,PS4,Sony Interactive Entertainment,Insomniac Games,2018.0,9.0
104,Half-Life 2,half-life-2,PC,VU Games,Valve Software,2004.0,8.88
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,X360,Bethesda Softworks,Bethesda Game Studios,2011.0,8.88
106,Mario Party 8,mario-party-8,Wii,Nintendo,Hudson Soft,2007.0,8.85
107,Super Mario Kart,super-mario-kart,SNES,Nintendo,Nintendo EAD,1992.0,8.76
108,Grand Theft Auto V,grand-theft-auto-v,XOne,Rockstar Games,Rockstar North,2014.0,8.72
109,Uncharted 4: A Thief's End,uncharted-4-a-thiefs-end,PS4,Sony Interactive Entertainment,Naughty Dog,2016.0,8.7
110,Final Fantasy VIII,final-fantasy-viii,PS,Square EA,SquareSoft,1999.0,8.6
111,Final Fantasy X,final-fantasy-x,PS2,Square,SquareSoft,2001.0,8.6
112,Pokemon Black 2 and White 2,pokemon-black-2-and-white-2,DS,Nintendo,Game Freak,2012.0,8.52
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,PS4,Activision,Infinity Ward,2016.0,8.48
114,Fallout 4,fallout-4,PS4,Bethesda Softworks,Bethesda Game Studios,2015.0,8.48
115,Mario Kart 8,mario-kart-8,WiiU,Nintendo,Nintendo,2014.0,8.42
116,Tekken 3,tekken-3,PS,Namco,Namco,1998.0,8.3
117,Pokemon: Ultra Sun and Ultra Moon,pokemon-ultra-sun-and-ultra-moon,3DS,Nintendo,Game Freak,2017.0,8.28
118,Splatoon 2,splatoon-2,NS,Nintendo,Nintendo EPD,2017.0,8.27
119,FIFA 16,fifa-16,PS4,EA Sports,EA Canada,2015.0,8.22
120,GoldenEye 007,goldeneye-007,N64,Nintendo,Rare Ltd.,1997.0,8.09
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,PS4,Electronic Arts,EA DICE,2015.0,8.03
122,FIFA 13,fifa-13,PS3,EA Sports,EA Canada,2012.0,8.01
123,Halo 2,halo-2,XB,Microsoft Game Studios,Bungie Studios,2004.0,8.0
124,The Sims 3,the-sims-3,PC,Electronic Arts,EA Redwood Shores,2009.0,7.96
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,PSP,Rockstar Games,Rockstar Leeds,2005.0,7.72
126,Pac-Man,pac-man,2600,Atari,Atari,1982.0,7.7
127,Pokemon Platinum Version,pokemon-platinum-version,DS,Nintendo,Game Freak,2009.0,7.6
128,The Legend of Zelda: Ocarina of Time,the-legend-of-zelda-ocarina-of-time,N64,Nintendo,Nintendo EAD,1998.0,7.6
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,PS,Sony Computer Entertainment,Naughty Dog,1997.0,7.58
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,PS4,Activision,Sledgehammer Games,2014.0,7.53
131,Call of Duty: World at War,call-of-duty-world-at-war,X360,Activision,Treyarch,2008.0,7.5
132,Super Mario Bros. 2,super-mario-bros-2,NES,Nintendo,Nintendo EAD,1988.0,7.46
133,Super Mario Galaxy 2,super-mario-galaxy-2,Wii,Nintendo,Nintendo EAD Tokyo,2010.0,7.41
134,Super Smash Bros. Melee,super-smash-bros-melee,GC,Nintendo,HAL Laboratory,2001.0,7.41
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,XOne,Activision,Treyarch,2015.0,7.37
136,Battlefield 3,battlefield-3,X360,Electronic Arts,Dice,2011.0,7.35
137,The Legend of Zelda: Twilight Princess,the-legend-of-zelda-twilight-princess,Wii,Nintendo,Nintendo EAD,2006.0,7.26
138,Battlefield 1,battlefield-1,PS4,Electronic Arts,EA DICE,2016.0,7.26
139,Battlefield 3,battlefield-3,PS3,Electronic Arts,Dice,2011.0,7.21
140,Need for Speed Underground,need-for-speed-underground,PS2,Electronic Arts,EA Black Box,2003.0,7.2
141,The Binding of Isaac,the-binding-of-isaac,PC,Edmund McMillen,Edmund McMillen,2011.0,7.17
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,PS,Sony Computer Entertainment,Naughty Dog,1998.0,7.13
143,Pokemon Emerald Version,pokemon-emerald-version,GBA,Nintendo,Game Freak,2005.0,7.06
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,yokai-watch-2-bony-spirits,3DS,Nintendo,Level 5,2016.0,7.03
145,Need for Speed Underground 2,need-for-speed-underground-2,PS2,Electronic Arts,EA Black Box,2004.0,6.9
146,Just Dance 4,just-dance-4,Wii,Ubisoft,Ubisoft,2012.0,6.89
